Total Liabilities,"69,669","59,063","58,291","61,353","68,426","74,934","81,030","96,584","107,805","124,735","133,176","140,537"
Fixed Assets +,"33,976","29,946","30,092","30,480","32,700","38,230","41,160","44,572","49,697","55,188","58,836","68,667"
CWIP,"13,806","3,688","4,126","5,938","9,738","11,666","13,400","15,490","16,646","23,627","27,421","24,072"
Investments,"1,272","9,844","10,125","10,452","10,722","9,893","13,058","16,408","17,248","21,910","22,765","26,233"
Other Assets +,"20,615","15,584","13,948","14,482","15,267","15,145","13,413","20,114","24,214","24,010","24,155","21,564"
Total Assets,"69,669","59,063","58,291","61,353","68,426","74,934","81,030","96,584","107,805","124,735","133,176","140,537"

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,"4,214","3,960","6,024","8,769","7,984","8,345","8,993","9,420","3,205","12,586","15,735","11,249"
Cash from Investing Activity +,"-2,809",-904,-334,"-2,660","-5,701","-8,299","-4,640","-5,490","-7,453","-8,226","-6,623","-9,154"
Cash from Financing Activity +,"-3,058","-3,028","-5,275","-5,252","-3,364",281,"-3,471","-3,917","2,972","-3,457","-8,941","-2,750"
Net Cash Flow,"-1,653",29,415,858,"-1,081",328,882,13,"-1,276",902,171,-655
Free Cash Flow,"1,498","2,500","4,029","5,370",443,-890,"3,309","2,481","-5,548",98,"7,818","2,451"
CFO/OP,93%,103%,120%,130%,102%,121%,142%,84%,64%,111%,118%,113%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,19,19,21,23,21,24,22,29,27,26,24,22
Inventory Days,18,14,17,17,16,21,25,19,17,20,20,16
Days Payable,26,25,27,35,24,25,37,28,20,22,24,19
Cash Conversion Cycle,12,8,11,6,13,20,10,20,23,24,20,19
Working Capital Days,-12,-17,-10,-24,-5,-10,-24,-6,-6,-8,-8,-15
ROCE %,10%,8%,12%,16%,22%,20%,13%,23%,10%,15%,14%,10%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,51.91%,51.91%,51.90%,51.90%,51.92%,51.92%,51.90%,51.88%,51.88%,51.88%,51.88%,51.88%
FIIs +,16.09%,14.76%,14.24%,14.17%,15.20%,16.79%,16.05%,14.79%,14.91%,13.72%,14.07%,13.04%
DIIs +,18.06%,19.14%,19.37%,19.56%,18.13%,16.92%,17.59%,19.02%,18.93%,19.88%,19.76%,20.50%
Government +,7.93%,7.91%,7.92%,7.63%,7.63%,7.62%,7.61%,7.61%,7.61%,7.61%,7.61%,7.61%
Public +,6.01%,6.30%,6.58%,6.75%,7.14%,6.76%,6.84%,6.68%,6.66%,6.92%,6.69%,6.98%
No. of Shareholders,"9,07,339","9,45,498","10,11,145","12,27,209","15,17,622","15,50,416","16,02,028","16,71,482","16,38,227","16,32,187","15,88,210","16,17,716"

--- CAGR BOXES ---
Compounded Sales Growth
10 Years:,11%
5 Years:,20%
3 Years:,-1%
TTM:,0%

Compounded Profit Growth
10 Years:,15%
5 Years:,4%
3 Years:,10%
TTM:,-29%

Stock Price CAGR
10 Years:,9%
5 Years:,11%
3 Years:,19%
1 Year:,-4%

Return on Equity
10 Years:,13%
5 Years:,13%
3 Years:,12%
Last Year:,9%

