Fixed Assets +,"12,682","15,872","17,675","18,853","21,837","22,847","21,553","22,665","24,065","23,248","22,586","34,493"
CWIP,"2,039","2,175","2,801","2,465","1,411","1,220","1,567","1,287","4,973","5,354","6,644","1,381"
Investments,"2,716","1,830","1,192","7,143","7,903","10,143","9,612","12,849","14,824","15,026","18,354","24,723"
Other Assets +,"31,286","35,550","39,427","35,837","33,439","33,984","34,890","32,975","36,849","41,700","44,324","48,189"
Total Assets,"48,723","55,428","61,095","64,297","64,590","68,194","67,622","69,776","80,712","85,328","91,908","108,785"

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,"5,616","6,686","7,082","3,907","2,196","6,555","6,170","8,985","4,959","12,135","14,072","12,419"
Cash from Investing Activity +,"-1,502","-3,949","-4,186","-3,104",-310,"-2,225",407,"-5,556","-7,220",-763,"-5,183","-11,344"
Cash from Financing Activity +,"-1,187","-1,889","-2,285","-1,539","-2,731","-5,715","-5,980","-5,193","2,376","-6,710","-7,906","-2,513"
Net Cash Flow,"2,927",848,611,-736,-844,"-1,386",596,"-1,765",115,"4,662",983,"-1,437"
Free Cash Flow,"3,316","3,353","3,492","2,013",-966,"5,105","5,097","7,550","2,895","9,964","12,005","8,906"
CFO/OP,93%,106%,90%,83%,48%,113%,85%,78%,56%,105%,96%,83%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,68,87,83,108,112,105,99,99,95,85,91,97
Inventory Days,307,370,307,338,366,311,378,315,360,338,348,363
Days Payable,178,207,197,234,192,142,167,158,194,194,210,232
Cash Conversion Cycle,197,251,193,212,285,274,310,255,261,229,228,228
Working Capital Days,-7,37,-4,-31,31,51,51,47,40,55,65,185
ROCE %,23%,18%,20%,10%,10%,10%,13%,17%,16%,17%,20%,21%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,54.48%,54.48%,54.48%,54.48%,54.48%,54.48%,54.48%,54.48%,54.48%,54.48%,54.48%,54.48%
FIIs +,16.48%,16.78%,17.08%,17.72%,17.23%,18.01%,18.04%,17.96%,17.26%,16.55%,16.12%,15.94%
DIIs +,19.65%,19.56%,19.42%,18.71%,19.17%,18.48%,18.43%,18.58%,19.38%,20.12%,20.72%,21.00%
Government +,0.09%,0.10%,0.11%,0.11%,0.11%,0.11%,0.11%,0.11%,0.11%,0.11%,0.11%,0.11%
Public +,9.28%,9.05%,8.92%,8.97%,9.00%,8.89%,8.92%,8.86%,8.76%,8.72%,8.57%,8.48%
No. of Shareholders,"6,24,561","6,16,588","6,12,626","6,31,392","6,73,217","6,57,317","6,89,623","7,04,983","7,23,770","7,43,877","7,10,900","6,90,957"

--- CAGR BOXES ---
Compounded Sales Growth
10 Years:,7%
5 Years:,12%
3 Years:,10%
TTM:,11%

Compounded Profit Growth
10 Years:,10%
5 Years:,17%
3 Years:,13%
TTM:,9%

Stock Price CAGR
10 Years:,9%
5 Years:,22%
3 Years:,23%
1 Year:,10%

Return on Equity
10 Years:,14%
5 Years:,16%
3 Years:,16%
Last Year:,16%

