Cash from Investing Activity +,-277,-551,-855,-553,-387,"-2,992","-1,665",-267
Cash from Financing Activity +,-266,116,-269,-526,326,"1,412",334,-594
Net Cash Flow,-15,210,-21,-128,574,-239,313,-700
Free Cash Flow,248,332,945,632,-35,600,"1,051",-295
CFO/OP,92%,52%,190%,85%,41%,339%,240%,36%

--- RATIOS ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,35,35,42,34,26,73,19,18
Inventory Days,179,205,263,287,277,532,282,298
Days Payable,223,198,307,335,253,487,258,248
Cash Conversion Cycle,-9,42,-1,-13,50,117,43,68
Working Capital Days,-34,-75,-65,-53,-24,-72,-11,32
ROCE %,,9%,-5%,3%,5%,-4%,-3%,-3%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,55.47%,55.45%,55.45%,51.85%,51.97%,49.25%,49.24%,46.58%,46.58%,46.61%,46.61%,46.61%
FIIs +,14.20%,14.03%,14.15%,19.50%,19.99%,19.68%,18.35%,22.20%,17.63%,18.62%,18.36%,15.53%
DIIs +,16.86%,17.01%,17.00%,14.84%,14.45%,14.76%,14.56%,14.65%,12.14%,8.07%,7.90%,6.62%
Public +,12.94%,13.01%,12.91%,13.35%,13.12%,15.89%,17.43%,16.23%,23.29%,26.33%,26.79%,30.96%
Others +,0.51%,0.50%,0.50%,0.46%,0.45%,0.42%,0.41%,0.36%,0.35%,0.35%,0.34%,0.31%
No. of Shareholders,"2,91,906","2,99,083","2,89,693","3,12,400","3,00,868","3,00,270","3,21,623","3,20,957","3,93,518","3,91,980","3,76,993","3,69,727"

--- CAGR BOXES ---




