,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Apr 2026
Promoters +,63.19%,63.19%,66.74%,70.33%,67.57%,67.57%,67.57%,67.57%,67.68%,67.68%,67.68%,67.33%
FIIs +,11.65%,11.88%,11.09%,9.59%,10.61%,9.14%,8.60%,7.43%,5.91%,5.80%,5.87%,5.83%
DIIs +,15.26%,15.56%,14.24%,13.03%,14.98%,16.41%,17.09%,18.49%,19.41%,19.64%,19.86%,19.62%
Government +,0.26%,0.26%,0.23%,0.21%,0.21%,0.21%,0.21%,0.21%,0.21%,0.21%,0.21%,0.21%
Public +,9.63%,9.10%,7.69%,6.83%,6.64%,6.66%,6.51%,6.30%,6.77%,6.67%,6.36%,7.00%
No. of Shareholders,"5,98,147","5,64,847","5,42,773","6,11,804","6,05,551","6,33,718","6,44,696","6,18,855","6,20,457","6,25,013","6,07,505","6,13,421"

--- CAGR BOXES ---
Compounded Sales Growth
10 Years:,16%
5 Years:,11%
3 Years:,1%
TTM:,15%

Compounded Profit Growth
10 Years:,22%
5 Years:,15%
3 Years:,21%
TTM:,17%

Stock Price CAGR
10 Years:,5%
5 Years:,4%
3 Years:,-2%
1 Year:,-21%

Return on Equity
10 Years:,9%
5 Years:,9%
3 Years:,9%
Last Year:,9%

