--- ABOUT ---
"Tube Investments of India Limited (TII) is one of India’s leading manufacturers of a wide range of products for major industries such as Automotive, Railway, Construction, Mining, Agriculture, etc. The Company’s 3 main verticals are Engineering, Metal Formed Products and Bicycles. In line with its growth strategies, the Company has forayed into TMT bars and Truck Body Building business and is additionally exploring opportunities in optic lens and other vision systems for the Auto industry. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"63,597","3,286","3,420",96.6

Book Value,Dividend Yield,ROCE,ROE
400,0.11,17.0,9.91

Face Value
1.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"3,778","3,898","4,306","4,197","4,490","4,578","4,925","4,812","5,150","5,309","5,523","5,801","6,215"
Expenses +,"3,288","3,431","3,744","3,728","4,039","4,047","4,434","4,321","4,813","4,763","4,978","5,216","5,632"
Operating Profit,489,467,562,469,451,531,490,491,337,546,544,585,583
OPM %,13%,12%,13%,11%,10%,12%,10%,10%,7%,10%,10%,10%,9%
Other Income +,188,42,59,609,77,62,71,77,150,72,93,49,108
Interest,11,11,13,13,15,16,16,15,16,17,14,15,16
Depreciation,124,108,112,119,115,110,119,127,137,152,164,173,175
Profit before tax,542,390,496,946,398,467,426,426,334,449,459,445,500
Tax %,12%,27%,30%,12%,31%,32%,30%,34%,53%,32%,34%,37%,53%
Net Profit +,477,284,346,828,274,317,299,280,158,303,302,279,234
EPS in Rs,16.14,11.14,13.77,27.58,9.88,11.73,10.69,10.01,2.40,10.28,9.65,8.57,4.41
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,,50,51,41,40,74,52,52,59,62,70
Inventory Days,,101,93,84,75,111,58,50,59,63,70
Days Payable,,107,117,96,94,224,103,85,92,89,98
Cash Conversion Cycle,,44,26,29,22,-38,8,17,26,36,41
Working Capital Days,,4,-4,-3,-2,-88,-30,0,10,24,67
ROCE %,,26%,13%,20%,21%,13%,26%,32%,26%,22%,17%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,46.13%,46.12%,45.11%,45.11%,45.04%,44.97%,44.11%,44.11%,44.09%,44.09%,44.06%,44.05%
FIIs +,29.41%,30.42%,28.83%,28.33%,27.40%,28.38%,28.25%,26.93%,26.31%,25.45%,23.15%,21.42%
DIIs +,12.25%,11.47%,14.14%,14.81%,15.50%,14.73%,15.04%,16.12%,16.78%,17.71%,19.68%,21.75%
Government +,0.45%,0.45%,0.45%,0.45%,0.45%,0.45%,0.45%,0.45%,0.45%,0.45%,0.45%,0.45%
Public +,11.77%,11.55%,11.48%,11.31%,11.60%,11.48%,12.15%,12.40%,12.35%,12.29%,12.67%,12.33%
No. of Shareholders,"75,343","76,472","79,168","80,778","83,215","87,030","95,152","1,02,308","1,06,311","1,04,102","1,08,615","1,06,178"

--- CAGR BOXES ---




