Other Liabilities +,"2,242","2,452","2,967","3,086","3,135","2,546","3,354","3,304","3,534","3,790","4,592","5,103"
Total Liabilities,"7,889","8,329","8,896","8,926","9,109","8,844","8,511","8,863","9,716","11,176","13,176","14,469"
Fixed Assets +,"1,921","1,887","1,917","1,791","1,841","1,956","1,893","1,855","1,534","1,560","1,712","1,404"
CWIP,114,282,199,102,118,121,97,96,83,37,72,77
Investments,216,77,0,0,25,22,0,222,286,645,923,"1,171"
Other Assets +,"5,637","6,084","6,780","7,033","7,124","6,745","6,521","6,690","7,813","8,934","10,469","11,817"
Total Assets,"7,889","8,329","8,896","8,926","9,109","8,844","8,511","8,863","9,716","11,176","13,176","14,469"

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,-196,283,647,925,948,783,"1,818",977,615,"1,118","1,947","1,459"
Cash from Investing Activity +,"3,855",733,-227,104,-66,-194,-99,-313,-55,226,"-1,114",-428
Cash from Financing Activity +,"-4,002","-1,155",-475,-966,-808,-740,"-1,707",-688,-500,-407,-557,"-1,450"
Net Cash Flow,-343,-139,-56,63,74,-150,12,-23,60,937,276,-419
Free Cash Flow,-259,50,389,895,872,583,"1,679",882,505,"1,039","1,786","1,531"
CFO/OP,15%,142%,85%,111%,128%,87%,183%,90%,62%,73%,94%,79%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,69,99,122,115,99,89,98,89,84,99,103,106
Inventory Days,123,150,226,263,235,199,254,229,193,186,197,146
Days Payable,56,78,144,195,171,124,176,168,154,176,191,130
Cash Conversion Cycle,136,171,205,183,163,165,177,150,122,108,109,121
Working Capital Days,-61,-30,-22,-12,-8,-8,17,39,51,52,48,101
ROCE %,-3%,15%,15%,18%,20%,21%,14%,25%,20%,28%,26%,27%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,56.68%,56.68%,56.68%,56.68%,56.68%,56.68%,56.68%,56.68%,56.68%,56.68%,56.68%,56.68%
FIIs +,15.92%,16.51%,16.23%,16.68%,15.09%,16.11%,15.93%,14.98%,15.05%,14.38%,14.13%,14.41%
DIIs +,12.64%,12.32%,12.49%,12.27%,14.00%,13.15%,13.54%,14.59%,14.40%,14.90%,15.36%,15.36%
Government +,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%
Public +,14.77%,14.49%,14.60%,14.37%,14.22%,14.04%,13.83%,13.73%,13.88%,14.04%,13.84%,13.54%
No. of Shareholders,"2,49,395","2,49,741","2,64,583","2,51,095","2,52,121","2,45,558","2,57,769","2,64,995","2,88,900","3,23,938","3,03,746","2,92,661"

--- CAGR BOXES ---
Compounded Sales Growth
10 Years:,4%
5 Years:,9%
3 Years:,6%
TTM:,3%

Compounded Profit Growth
10 Years:,29%
5 Years:,34%
3 Years:,23%
TTM:,22%

Stock Price CAGR
10 Years:,11%
5 Years:,14%
3 Years:,14%
1 Year:,-9%

Return on Equity
10 Years:,20%
5 Years:,20%
3 Years:,21%
Last Year:,21%

