Promoters +,71.78%,71.78%,71.78%,72.02%,72.02%,72.02%,72.02%,72.02%,72.02%,72.02%,72.02%,72.02%
FIIs +,2.76%,3.15%,3.05%,3.43%,3.50%,3.24%,3.37%,3.55%,3.82%,5.19%,5.00%,4.88%
DIIs +,20.60%,19.96%,19.97%,18.59%,18.46%,18.86%,19.26%,19.37%,19.10%,18.09%,18.09%,18.35%
Public +,4.87%,5.12%,5.19%,5.95%,6.03%,5.88%,5.34%,5.06%,5.06%,4.69%,4.90%,4.75%
No. of Shareholders,"2,47,527","2,39,732","2,30,864","2,26,804","2,19,934","2,13,595","2,03,217","1,97,095","1,92,406","1,82,725","1,82,123","1,78,159"

--- CAGR BOXES ---




