--- ABOUT ---
"Caplin Point Laboratories Ltd is engaged in the manufacturing and sourcing of APIs, finished formulations, R&D, clinical research with presence in Latin America, Africa, USA and other nations. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"19,030","2,504","2,560 / 1,500",29.7

Book Value,Dividend Yield,ROCE,ROE
472,0.24,24.6,20.6

Face Value
2.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,389,395,410,436,453,459,483,493,502,510,534,543,600
Expenses +,265,269,273,293,308,307,318,331,334,332,345,353,396
Operating Profit,124,127,137,142,145,152,165,162,168,178,189,190,204
OPM %,32%,32%,34%,33%,32%,33%,34%,33%,33%,35%,35%,35%,34%
Other Income +,11,12,21,17,17,19,21,31,26,23,30,34,28
Interest,0,0,0,0,0,0,0,0,0,0,0,0,0
Depreciation,11,11,12,14,16,16,17,16,17,16,18,19,19
Profit before tax,124,127,146,145,146,154,168,177,177,184,201,204,213
Tax %,18%,18%,20%,18%,17%,19%,22%,21%,18%,18%,20%,19%,19%
Net Profit +,101,104,116,120,121,125,131,140,145,151,160,166,173
EPS in Rs,13.45,13.62,15.13,15.43,16.01,16.31,17.21,18.28,18.76,20.10,20.32,21.56,22.38
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Jun 2015,Mar 2016 9m,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Other Assets +,85,122,186,269,436,772,"1,033","1,343","1,410","1,753","1,928","2,373"
Total Assets,229,267,358,500,743,"1,126","1,364","1,736","2,191","2,698","3,208","4,045"

--- CASH FLOW ---
,Jun 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,50,42,68,66,83,45,269,337,271,318,432,523
Cash from Investing Activity +,-23,-6,-36,-69,-100,-54,-30,-377,-216,-319,-333,-582
Cash from Financing Activity +,-9,-14,-7,-12,90,80,-24,-41,-28,-38,-38,-46
Net Cash Flow,19,23,25,-14,73,70,215,-81,27,-39,61,-106
Free Cash Flow,24,34,43,18,18,-32,195,246,78,173,241,275
CFO/OP,103%,92%,73%,53%,54%,38%,102%,106%,81%,77%,86%,88%

--- RATIOS ---
,Jun 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,8,12,30,85,90,97,96,91,98,117,119,138
Inventory Days,37,57,44,44,47,210,139,149,159,183,159,181
Days Payable,112,168,155,144,76,57,68,102,84,116,103,125
Cash Conversion Cycle,-67,-99,-81,-16,61,251,166,138,173,184,175,194
Working Capital Days,-128,-114,-29,47,104,167,145,165,144,166,174,263
ROCE %,68%,62%,68%,63%,45%,33%,28%,28%,26%,26%,26%,25%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,70.63%,70.62%,70.62%,70.62%,70.56%,70.56%,70.56%,70.56%,70.56%,70.57%,70.57%,70.57%
FIIs +,2.68%,3.09%,2.84%,3.33%,3.38%,3.71%,4.86%,5.73%,6.16%,6.51%,6.58%,6.15%
DIIs +,0.27%,0.21%,0.43%,1.08%,1.49%,1.83%,2.11%,2.00%,2.22%,2.10%,2.05%,2.14%
Public +,26.44%,26.08%,26.11%,24.95%,24.59%,23.93%,22.48%,21.72%,21.06%,20.82%,20.81%,21.14%
No. of Shareholders,"78,956","78,068","79,438","81,409","80,411","96,123","92,702","96,387","94,169","93,753","93,705","93,896"

--- CAGR BOXES ---
Compounded Sales Growth
10 Years:,25%
5 Years:,16%
3 Years:,14%
TTM:,13%

Compounded Profit Growth
10 Years:,30%
5 Years:,22%
3 Years:,20%
TTM:,20%

Stock Price CAGR
10 Years:,29%
5 Years:,30%
3 Years:,47%
1 Year:,22%

Return on Equity
10 Years:,25%
5 Years:,23%
3 Years:,22%
Last Year:,21%

