--- ABOUT ---
"Bajaj Electricals Limited is a part of the Bajaj Group of companies and is a leading FMEG company spread across  Consumer Products - Appliances, Fans, Lighting, Exports, and EPC - Illumination, Transmission Towers and Power Distribution. It also has its presence in premium home appliances and cookware segments with brands like Morphy Richards and Nirlep. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"3,758",326,711,

Book Value,Dividend Yield,ROCE,ROE
138,0.92,3.14,-1.09

Face Value
2.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"1,292","1,112","1,113","1,228","1,188","1,155","1,118","1,290","1,265","1,065","1,107","1,051","1,240"
Expenses +,"1,197","1,045","1,038","1,171","1,138","1,080","1,067","1,202","1,172","1,032","1,050","1,043","1,200"
Operating Profit,95,68,75,58,50,75,52,87,93,33,57,8,40
OPM %,7%,6%,7%,5%,4%,7%,5%,7%,7%,3%,5%,1%,3%
Other Income +,20,20,6,43,22,11,15,13,38,24,8,-14,-46
Interest,12,12,14,20,18,16,17,19,18,18,13,13,13
Depreciation,22,23,27,30,30,32,35,36,41,37,37,35,33
Profit before tax,80,53,41,50,24,38,15,45,71,2,16,-54,-52
Tax %,35%,29%,33%,26%,-20%,27%,12%,27%,17%,40%,36%,-37%,30%
Net Profit +,52,37,27,37,29,28,13,33,59,1,10,-34,-68
EPS in Rs,4.52,3.23,2.37,3.25,2.54,2.44,1.12,2.89,5.12,0.08,0.85,-2.96,-5.85
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Total Assets,"2,957","3,078","3,466","5,179","4,567","4,268","3,992","4,993","3,833","4,219","4,260"

--- CASH FLOW ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,305,437,-103,-621,626,658,914,449,354,347,619
Cash from Investing Activity +,-53,-90,36,-103,-41,-110,-70,-88,-449,-195,-380
Cash from Financing Activity +,-239,-368,64,713,-495,-604,-771,-139,-133,-146,-137
Net Cash Flow,13,-22,-3,-11,90,-56,73,223,-227,6,103
Free Cash Flow,255,389,-138,-677,597,638,871,378,223,318,534
CFO/OP,137%,198%,-17%,-143%,327%,221%,383%,126%,137%,114%,455%

--- RATIOS ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,112,115,136,144,150,120,86,83,92,97,93
Inventory Days,60,76,68,64,77,120,111,106,85,79,64
Days Payable,66,84,100,85,100,117,137,195,206,212,56
Cash Conversion Cycle,106,107,104,123,127,124,60,-6,-30,-35,101
Working Capital Days,2,-4,16,9,17,29,24,39,12,35,0
ROCE %,,15%,19%,17%,7%,12%,12%,18%,13%,12%,3%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,62.85%,62.85%,62.85%,62.80%,62.78%,62.76%,62.72%,62.72%,62.72%,62.71%,62.70%,62.70%
FIIs +,10.92%,10.49%,10.41%,10.18%,7.93%,8.23%,7.82%,7.79%,7.89%,7.75%,6.48%,6.50%
DIIs +,11.96%,12.06%,12.11%,12.61%,14.75%,15.59%,15.91%,15.79%,15.57%,15.87%,17.08%,16.88%
Public +,14.26%,14.60%,14.62%,14.41%,14.53%,13.41%,13.54%,13.70%,13.83%,13.68%,13.74%,13.94%
No. of Shareholders,"60,389","63,101","65,600","63,094","59,460","61,774","65,279","68,263","68,573","77,029","77,071","81,287"

--- CAGR BOXES ---




