--- ABOUT ---
"IFB Industries Limited originally known as Indian Fine Blanks Limited started its operations in India in 1974 in collaboration with Heinrich Schmid AG of Switzerland. [1] The company operates two businesses--manufacturing of consumer durables and producing fine blank components (part of engineering segment) and goods. It manufactures fine blanking components for two wheelers, four wheelers, heavy vehicles and electrical OEMs. The company has a diversified product portfolio, comprising front- and top-load washing machines, dryers, ACs, microwave ovens, dishwashers, modular kitchens and chimneys. [2]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"5,205","1,284","2,025",33.8

Book Value,Dividend Yield,ROCE,ROE
246,0.00,20.3,16.8

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"1,010","1,086","1,101","1,161","1,090","1,269","1,219","1,270","1,334","1,338","1,370","1,413","1,498"
Expenses +,984,"1,055","1,038","1,103","1,048","1,190","1,154","1,186","1,278","1,277","1,272","1,338","1,420"
Operating Profit,26,30,63,58,42,79,66,83,56,62,98,74,79
OPM %,3%,3%,6%,5%,4%,6%,5%,7%,4%,5%,7%,5%,5%
Other Income +,9,8,6,7,11,7,13,4,11,10,7,-6,13
Interest,8,7,7,7,7,5,4,8,7,6,5,5,5
Depreciation,34,30,30,32,32,30,31,38,34,31,30,31,30
Profit before tax,-6,1,31,26,15,51,43,42,27,35,70,32,56
Tax %,72%,211%,31%,34%,19%,27%,27%,26%,29%,25%,27%,24%,24%
Net Profit +,-10,-1,22,17,12,38,31,31,19,26,51,24,43
EPS in Rs,-2.45,-0.15,5.31,4.31,2.96,9.26,7.75,7.67,4.66,6.46,12.53,5.91,10.53
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
CFO/OP,97%,91%,55%,158%,140%,116%,66%,184%,57%,111%

--- RATIOS ---
,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,30,31,34,28,35,33,36,38,31,28
Inventory Days,87,93,94,94,108,102,82,75,79,68
Days Payable,97,112,107,116,153,144,118,135,111,106
Cash Conversion Cycle,19,11,22,6,-10,-8,-1,-22,-1,-10
Working Capital Days,9,14,18,5,-9,-14,-7,-11,-2,19
ROCE %,,20%,13%,5%,13%,-4%,6%,10%,17%,20%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,74.96%,74.96%,74.96%,74.96%,74.96%,74.96%,74.96%,74.96%,74.96%,74.96%,74.96%,74.96%
FIIs +,1.84%,0.65%,0.70%,0.75%,0.83%,1.11%,0.91%,1.06%,0.76%,0.92%,0.96%,0.92%
DIIs +,4.18%,4.43%,3.57%,6.59%,6.74%,6.70%,6.80%,6.41%,6.26%,6.22%,6.03%,6.16%
Public +,19.02%,19.96%,20.77%,17.71%,17.46%,17.22%,17.33%,17.57%,18.02%,17.89%,18.04%,17.96%
No. of Shareholders,"26,825","26,991","26,731","26,080","28,240","30,842","31,350","35,673","33,469","31,348","31,477","33,569"

--- CAGR BOXES ---




