--- ABOUT ---
"JITF Infra Logistics Ltd, along with its subsidiaries is in the business of development of urban infrastructure, water infrastructure, management of municipal solid waste and generation of energy from Municipal solid waste. It is also engaged in manufacturing of railway freight wagons. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
744,290,480,

Book Value,Dividend Yield,ROCE,ROE
-200,0.00,15.4,

Face Value
2.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,634.66,668.10,720.06,618.73,653.04,464.98,480.59,531.71,787.52,550.16,537.53,822.00,898.33
Expenses +,542.25,568.48,605.09,504.33,577.60,363.16,407.89,431.11,658.76,420.21,421.84,668.50,739.07
Operating Profit,92.41,99.62,114.97,114.40,75.44,101.82,72.70,100.60,128.76,129.95,115.69,153.50,159.26
OPM %,14.56%,14.91%,15.97%,18.49%,11.55%,21.90%,15.13%,18.92%,16.35%,23.62%,21.52%,18.67%,17.73%
Other Income +,7.55,6.32,15.83,26.69,63.76,31.27,149.92,18.81,16.83,9.47,10.83,0.30,-19.79
Interest,84.29,76.79,73.74,74.98,77.95,80.73,84.81,86.74,99.91,100.93,101.50,94.93,103.93
Depreciation,18.27,21.25,15.68,22.16,17.79,17.71,17.95,20.76,22.42,24.20,24.52,24.67,29.16
Profit before tax,-2.60,7.90,41.38,43.95,43.46,34.65,119.86,11.91,23.26,14.29,0.50,34.20,6.38
Tax %,265.00%,172.78%,39.56%,30.35%,5.78%,33.30%,5.46%,63.31%,82.89%,132.96%,"3,300.00%",45.61%,222.88%
Net Profit +,-9.48,-5.74,25.02,30.60,40.95,23.12,113.31,4.37,3.99,-4.71,-15.99,18.60,-7.84
EPS in Rs,-7.81,-5.81,1.60,5.31,12.67,3.75,56.94,-3.10,-11.50,-4.33,-6.98,-0.49,-6.94
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Investing Activity +,,-9,-55,-261,-95,-185,-328,-206,-401,187,-218
Cash from Financing Activity +,,167,52,324,-0,198,257,61,284,-406,86
Net Cash Flow,,-4,2,11,-23,35,13,46,68,-33,67
Free Cash Flow,,-176,-55,-316,-82,-169,-227,-17,-177,-93,-46
CFO/OP,,"3,549%",-42%,-67%,90%,10%,55%,70%,56%,61%,44%

--- RATIOS ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,146,129,140,130,104,105,102,136,100,135,165
Inventory Days,179,116,120,164,72,67,56,80,65,16,12
Days Payable,280,110,133,204,181,140,105,151,128,230,163
Cash Conversion Cycle,45,135,127,90,-5,33,53,65,37,-79,14
Working Capital Days,-186,-70,-75,125,63,62,46,59,48,37,47
ROCE %,,-3%,-5%,4%,5%,4%,6%,9%,13%,12%,15%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,63.03%,63.03%,63.03%,63.03%,63.03%,63.03%,63.03%,63.03%,63.03%,63.03%,63.03%,63.03%
FIIs +,4.31%,2.42%,2.42%,2.51%,1.81%,2.23%,1.98%,2.09%,2.08%,1.95%,1.95%,1.96%
DIIs +,0.07%,0.05%,0.05%,0.09%,0.62%,0.51%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%
Public +,32.61%,34.51%,34.51%,34.39%,34.54%,34.25%,34.97%,34.85%,34.86%,34.99%,34.98%,34.99%
No. of Shareholders,"28,240","27,852","27,456","27,356","27,388","27,867","31,175","32,741","32,612","34,332","34,223","33,422"

--- CAGR BOXES ---




