Other Liabilities +,"24,610","20,737","22,024","24,579","32,606","33,798","34,826","56,951","63,991","62,245","62,197","70,313"
Total Liabilities,"85,654","81,907","88,005","91,970","114,797","131,820","147,163","196,485","210,539","227,898","240,445","269,676"
Fixed Assets +,"52,176","56,140","58,730","57,848","62,644","62,085","64,917","99,880","104,452","112,461","124,466","117,552"
CWIP,"8,265","7,271","4,363","5,950","11,889","27,191","32,566","16,905","22,166","29,676","21,007","21,892"
Investments,599,"1,195","1,366","1,469","1,894","1,259","7,427","4,940","4,806","7,246","15,217","10,218"
Other Assets +,"24,613","17,302","23,546","26,703","38,370","41,285","42,253","74,760","79,115","78,515","79,755","120,014"
Total Assets,"85,654","81,907","88,005","91,970","114,797","131,820","147,163","196,485","210,539","227,898","240,445","269,676"

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,"7,876","6,897","7,888","12,379","14,633","12,785","18,831","26,270","23,323","12,078","20,899","25,152"
Cash from Investing Activity +,"-7,372","-3,857","-5,094","-4,529","-11,387","-19,589","-9,410","-14,748","-10,730","-14,467","-17,012","18,690"
Cash from Financing Activity +,-169,"-3,151","-2,710","-8,185","1,753","5,189","-1,444","-14,657","-5,977","-5,005",-262,"-16,111"
Net Cash Flow,334,-111,84,-335,"4,999","-1,615","7,977","-3,135","6,616","-7,394","3,625","27,731"
Free Cash Flow,"1,362","1,736","3,498","7,703","4,471",18,"7,916","16,222","8,574","-3,469","8,264","10,610"
CFO/OP,92%,111%,66%,93%,91%,118%,103%,81%,130%,53%,101%,97%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,17,24,27,24,31,22,21,19,16,16,18,22
Inventory Days,136,135,147,118,123,130,160,208,130,151,142,124
Days Payable,175,207,172,149,137,169,171,190,149,133,132,55
Cash Conversion Cycle,-23,-48,2,-7,17,-17,9,36,-4,33,28,91
Working Capital Days,-58,-105,-66,-36,-63,-96,-93,-24,-50,-29,-19,-14
ROCE %,10%,5%,14%,18%,20%,9%,15%,28%,8%,13%,8%,11%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,45.41%,44.79%,44.81%,44.81%,44.81%,44.84%,44.85%,44.84%,45.31%,45.31%,45.31%,45.31%
FIIs +,25.98%,26.13%,26.33%,26.06%,25.52%,25.66%,25.59%,25.78%,25.42%,25.56%,25.38%,25.38%
DIIs +,9.59%,9.50%,9.48%,9.81%,10.52%,10.53%,10.59%,10.52%,10.93%,10.87%,11.06%,11.16%
Government +,0.51%,0.51%,0.51%,0.51%,0.51%,0.51%,0.51%,0.51%,0.51%,0.51%,0.51%,0.51%
Public +,17.99%,18.64%,18.47%,18.44%,18.30%,18.22%,18.24%,18.16%,17.59%,17.62%,17.56%,17.47%
Others +,0.51%,0.43%,0.41%,0.37%,0.34%,0.24%,0.23%,0.20%,0.24%,0.12%,0.20%,0.19%
No. of Shareholders,"5,86,997","6,63,179","6,41,582","6,71,779","6,35,680","6,32,249","6,35,890","6,21,932","6,17,339","6,10,303","6,05,301","6,03,274"

--- CAGR BOXES ---
Compounded Sales Growth
10 Years:,16%
5 Years:,18%
3 Years:,4%
TTM:,10%

Compounded Profit Growth
10 Years:,23%
5 Years:,3%
3 Years:,34%
TTM:,134%

Stock Price CAGR
10 Years:,25%
5 Years:,14%
3 Years:,20%
1 Year:,28%

Return on Equity
10 Years:,15%
5 Years:,13%
3 Years:,9%
Last Year:,10%

