Other Liabilities +,355,345,552,545,744,861,856,"1,301","2,466","2,889","2,448","2,464"
Total Liabilities,808,992,"1,198","1,232","1,528","1,616","1,947","2,559","4,357","5,061","4,670","5,091"
Fixed Assets +,23,120,118,114,199,298,324,427,"1,732","1,671","1,603","1,898"
CWIP,0,0,0,0,1,-0,0,0,1,-0,26,-0
Investments,64,52,128,198,146,14,76,159,220,245,249,186
Other Assets +,721,820,951,920,"1,182","1,305","1,547","1,974","2,404","3,145","2,792","3,007"
Total Assets,808,992,"1,198","1,232","1,528","1,616","1,947","2,559","4,357","5,061","4,670","5,091"

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,77,158,185,290,-6,369,443,450,268,281,644,538
Cash from Investing Activity +,-126,-133,-3,104,12,139,-112,-87,-771,-53,-437,-217
Cash from Financing Activity +,-51,-30,-173,-140,-166,-310,-62,-271,187,-108,-433,-266
Net Cash Flow,-100,-4,9,253,-160,198,268,93,-316,119,-226,54
Free Cash Flow,71,144,185,283,-14,360,441,441,227,281,577,425
CFO/OP,62%,101%,139%,149%,24%,133%,152%,131%,73%,75%,117%,95%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,67,67,80,59,100,68,53,61,61,68,63,63
Inventory Days,3,3,-0,-0,-0,-0,-0,0,2,6,2,2
Days Payable,90,84,,,,,,96,87,89,80,84
Cash Conversion Cycle,-20,-14,80,59,100,68,53,-35,-24,-15,-15,-19
Working Capital Days,9,-1,8,-11,24,-4,-18,-17,-34,-47,-21,-10
ROCE %,44%,42%,35%,39%,46%,51%,39%,44%,39%,36%,29%,31%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,28.17%,28.17%,28.17%,28.17%,28.17%,28.17%,28.17%,28.17%,28.17%,28.17%,28.17%,28.17%
FIIs +,13.59%,14.98%,14.47%,13.94%,12.41%,12.13%,12.29%,10.76%,9.68%,8.85%,8.79%,8.74%
DIIs +,14.31%,16.38%,17.60%,19.05%,21.56%,23.37%,24.30%,25.85%,25.55%,26.33%,26.30%,25.55%
Public +,42.87%,39.41%,38.71%,37.80%,36.85%,35.32%,34.22%,34.21%,35.63%,35.58%,35.64%,36.24%
Others +,1.06%,1.04%,1.03%,1.02%,1.00%,1.00%,1.00%,1.00%,0.97%,1.08%,1.09%,1.29%
No. of Shareholders,"1,12,629","1,12,274","1,55,692","1,44,972","1,65,880","1,65,935","1,65,808","1,72,801","2,05,807","2,08,539","2,02,411","2,01,519"

--- CAGR BOXES ---
Compounded Sales Growth
10 Years:,19%
5 Years:,20%
3 Years:,13%
TTM:,5%

Compounded Profit Growth
10 Years:,13%
5 Years:,16%
3 Years:,4%
TTM:,20%

Stock Price CAGR
10 Years:,17%
5 Years:,2%
3 Years:,-15%
1 Year:,-25%

Return on Equity
10 Years:,32%
5 Years:,31%
3 Years:,29%
Last Year:,28%

