Reserves,"5,297","6,600","7,653","10,847","12,086","12,643","14,035","17,998","19,466","21,986","21,339","20,951"
Borrowings +,"8,379","9,090","7,072","6,108","6,130","7,702","6,933","7,025","6,296","5,563","7,072","8,001"
Other Liabilities +,"6,872","8,402","8,607","8,648","8,398","7,073","7,115","8,566","8,923","8,907","9,084","9,791"
Total Liabilities,"20,802","24,346","23,587","25,858","26,869","27,673","28,337","33,843","34,940","36,711","37,750","38,998"
Fixed Assets +,"11,359","13,431","12,644","12,787","13,551","15,356","15,261","16,044","17,092","17,861","19,600","20,602"
CWIP,189,350,333,409,774,835,"1,094","1,667","2,410","2,217","1,913","1,038"
Investments,443,"2,188","2,787","2,840","5,615","4,285","5,816","7,683","7,448","9,739","9,144","9,886"
Other Assets +,"8,811","8,377","7,822","9,822","6,929","7,198","6,167","8,449","7,990","6,894","7,093","7,472"
Total Assets,"20,802","24,346","23,587","25,858","26,869","27,673","28,337","33,843","34,940","36,711","37,750","38,998"

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,"1,274","2,332","3,531","1,870","1,581","1,780","2,037","1,644","2,971","3,016","1,761","1,269"
Cash from Investing Activity +,-663,-463,-985,"2,714","-1,927","-2,285","-1,147",-817,"-1,149",-605,"-1,667",-766
Cash from Financing Activity +,"-1,087","-1,802","-2,341","-2,089","-1,712",-129,"-1,456",-755,"-2,076","-2,494",29,-670
Net Cash Flow,-477,68,205,"2,494","-2,058",-634,-565,72,-254,-83,123,-167
Free Cash Flow,709,"1,645","2,888","1,140",502,611,804,379,"1,427","1,193",-191,129
CFO/OP,86%,129%,190%,71%,115%,99%,142%,82%,88%,120%,102%,67%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,73,88,74,46,51,56,50,56,57,45,47,52
Inventory Days,137,119,244,304,315,347,257,317,282,341,324,353
Days Payable,138,99,232,307,269,302,256,338,289,320,318,293
Cash Conversion Cycle,72,107,86,43,97,100,51,35,50,66,53,113
Working Capital Days,-4,31,-4,27,-2,-102,-28,-29,29,-22,-21,-17
ROCE %,11%,11%,10%,16%,9%,36%,4%,8%,12%,8%,4%,3%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,37.98%,37.98%,37.98%,37.98%,37.98%,37.98%,37.98%,37.98%,37.98%,37.98%,37.98%,37.98%
FIIs +,14.47%,14.16%,14.07%,13.84%,13.76%,13.56%,13.60%,13.29%,12.85%,13.73%,12.26%,11.90%
DIIs +,19.91%,20.91%,20.44%,19.97%,19.91%,20.34%,21.68%,21.96%,22.61%,22.17%,22.40%,22.83%
Government +,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%,0.03%
Public +,27.63%,26.92%,27.49%,28.18%,28.31%,28.08%,26.72%,26.73%,26.53%,26.07%,27.34%,27.25%
No. of Shareholders,"6,55,166","6,51,274","6,70,066","7,58,572","7,45,594","7,30,528","6,87,065","6,86,973","6,77,130","6,50,693","6,50,585","6,43,078"

--- CAGR BOXES ---
Compounded Sales Growth
10 Years:,0%
5 Years:,7%
3 Years:,-5%
TTM:,-2%

Compounded Profit Growth
10 Years:,-10%
5 Years:,3%
3 Years:,-51%
TTM:,3%

Stock Price CAGR
10 Years:,14%
5 Years:,0%
3 Years:,-10%
1 Year:,-20%

Return on Equity
10 Years:,10%
5 Years:,5%
3 Years:,2%
Last Year:,1%

