--- ABOUT ---
Gujarat Alkalies and Chemicals Ltd is a multi-product chemical manufacturing company and is one of the leading manufacturers of Caustic Soda Lye. [1] Its manufacturing facilities are located at Dahej and Vadodara in Gujarat. [2]

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"4,690",639,815,

Book Value,Dividend Yield,ROCE,ROE
707,2.47,1.40,-0.04

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"1,138",913,971,921,"1,002",977,991,"1,029","1,075","1,105","1,083","1,044","1,125"
Expenses +,936,882,955,941,998,923,945,951,974,"1,010","1,009",948,"1,015"
Operating Profit,202,31,16,-20,4,54,46,78,101,95,74,96,110
OPM %,18%,3%,2%,-2%,0%,6%,5%,8%,9%,9%,7%,9%,10%
Other Income +,8,12,71,5,3,3,49,15,24,8,59,30,25
Interest,8,10,11,11,12,11,11,10,18,14,16,18,15
Depreciation,88,89,95,96,97,97,100,98,97,102,104,104,104
Profit before tax,115,-57,-18,-123,-102,-50,-16,-15,10,-12,14,4,15
Tax %,38%,0%,-0%,-6%,-55%,-11%,15%,-27%,13%,15%,-21%,621%,3%
Net Profit +,71,-57,-18,-115,-46,-45,-18,-11,9,-14,16,-20,15
EPS in Rs,9.67,-7.78,-2.50,-15.68,-6.29,-6.06,-2.48,-1.53,1.20,-1.88,2.23,-2.72,2.04
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Investments,854,"1,016","1,145","1,065","1,242","2,092","2,110","1,831","2,093","1,976","1,633"
Other Assets +,"1,136","1,196","1,469","1,858","1,594","1,366","1,379","1,710","1,218","1,348","1,434"
Total Assets,"3,894","4,435","4,970","5,531","5,891","7,154","7,977","8,335","8,023","7,987","7,533"

--- CASH FLOW ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,201,502,514,838,630,421,735,960,67,381,406
Cash from Investing Activity +,-352,-467,-395,-581,-634,-334,-804,-662,-90,-264,-228
Cash from Financing Activity +,84,13,-116,-136,-146,226,12,-140,-277,-145,-150
Net Cash Flow,-67,49,3,122,-150,313,-58,158,-301,-28,28
Free Cash Flow,-80,63,230,451,56,-370,-173,277,-164,59,148
CFO/OP,75%,132%,83%,98%,121%,133%,106%,121%,353%,112%,100%

--- RATIOS ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,60,58,60,56,50,43,29,23,17,24,34
Inventory Days,99,94,147,99,92,88,101,111,93,110,102
Days Payable,99,125,154,134,126,111,101,119,86,115,111
Cash Conversion Cycle,60,27,53,22,17,21,29,15,25,19,25
Working Capital Days,89,81,98,96,107,10,4,5,-1,-3,1
ROCE %,,11%,18%,24%,11%,5%,13%,11%,-4%,-0%,1%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,46.28%,46.28%,46.28%,46.28%,46.28%,46.28%,46.28%,46.28%,46.28%,46.28%,46.28%,47.28%
FIIs +,1.98%,1.88%,2.07%,2.10%,1.92%,1.94%,1.79%,1.71%,1.02%,1.02%,0.96%,0.94%
DIIs +,1.51%,1.96%,2.17%,3.13%,3.46%,3.76%,4.14%,4.17%,4.35%,4.52%,4.75%,3.72%
Public +,50.22%,49.88%,49.49%,48.48%,48.34%,48.01%,47.79%,47.84%,48.36%,48.16%,48.01%,48.04%
No. of Shareholders,"85,393","88,020","86,698","82,719","79,560","78,681","75,697","74,643","75,202","70,371","68,436","73,032"

--- CAGR BOXES ---




