--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,86,18,915,263,526,"1,862","4,150","2,078",591,"1,428","2,464","1,558"
Cash from Investing Activity +,-216,-61,-79,38,-597,-220,"-1,245","-1,622",640,"-1,333","-2,638",-559
Cash from Financing Activity +,-64,8,-864,-1,-244,"-1,723","-2,263",-443,-543,-363,-698,-831
Net Cash Flow,-194,-34,-28,300,-314,-82,642,14,688,-269,-872,168
Free Cash Flow,-6,-89,834,134,255,"1,606","3,958","1,801",22,910,"2,030",22
CFO/OP,27%,25%,120%,49%,62%,128%,232%,119%,45%,86%,123%,71%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,47,52,59,52,50,48,14,5,7,23,19,49
Inventory Days,96,98,88,109,127,109,98,94,69,102,98,111
Days Payable,131,135,150,162,147,135,110,100,83,119,123,136
Cash Conversion Cycle,12,15,-3,-2,30,22,2,-1,-7,6,-7,24
Working Capital Days,11,24,40,27,42,65,64,41,37,46,28,57
ROCE %,19%,15%,18%,23%,23%,26%,32%,35%,38%,26%,23%,23%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,57.41%,57.34%,57.33%,57.33%,57.32%,57.17%,56.96%,56.96%,56.90%,56.88%,56.86%,56.35%
FIIs +,7.56%,7.18%,7.71%,7.34%,7.52%,7.79%,8.33%,10.61%,14.28%,14.51%,13.79%,13.02%
DIIs +,20.59%,21.11%,20.22%,20.63%,20.79%,21.26%,21.01%,18.97%,15.86%,15.78%,16.69%,18.19%
Public +,14.46%,14.37%,14.74%,14.70%,14.39%,13.77%,13.68%,13.44%,12.85%,12.73%,12.54%,12.24%
Others +,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.10%,0.10%,0.10%,0.18%
No. of Shareholders,"1,32,344","1,23,639","1,26,628","1,36,412","1,36,497","1,41,349","1,40,959","1,43,560","1,43,623","1,45,222","1,34,655","1,37,335"

--- CAGR BOXES ---
Compounded Sales Growth
10 Years:,11%
5 Years:,17%
3 Years:,2%
TTM:,31%

Compounded Profit Growth
10 Years:,19%
5 Years:,9%
3 Years:,0%
TTM:,16%

Stock Price CAGR
10 Years:,24%
5 Years:,17%
3 Years:,28%
1 Year:,-13%

Return on Equity
10 Years:,22%
5 Years:,20%
3 Years:,17%
Last Year:,17%

