--- ABOUT ---
"Solara Active Pharma Sciences Ltd is engaged in business of manufacturing, production, processing, formulating, sale, import, export, merchandising, distributing, trading of APIs. [1] It was formed through demerger of API business from Strides Shasun Ltd (currently named as Stride Pharma Sciences). Subsequently, it also acquired the human API business from Sequent Scientific Ltd during the same time, making it a pure play API company. [2]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"2,691",563,734,

Book Value,Dividend Yield,ROCE,ROE
346,0.00,4.86,-0.13

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,380.62,352.31,425.24,211.94,299.43,363.49,346.95,300.31,273.01,319.15,313.54,349.00,387.29
Expenses +,331.85,333.19,387.61,373.63,289.67,321.57,285.64,242.63,227.64,262.13,278.81,311.66,329.63
Operating Profit,48.77,19.12,37.63,-161.69,9.76,41.92,61.31,57.68,45.37,57.02,34.73,37.34,57.66
OPM %,12.81%,5.43%,8.85%,-76.29%,3.26%,11.53%,17.67%,19.21%,16.62%,17.87%,11.08%,10.70%,14.89%
Other Income +,4.68,2.04,-4.04,-62.32,-120.48,0.56,0.32,1.49,5.95,0.98,0.49,-6.75,5.55
Interest,21.96,24.61,24.44,25.37,30.69,30.87,28.28,26.54,29.12,23.90,20.83,22.45,27.57
Depreciation,26.45,25.91,26.21,25.96,25.25,25.07,25.34,24.54,24.30,23.58,24.49,25.57,26.04
Profit before tax,5.04,-29.36,-17.06,-275.34,-166.66,-13.46,8.01,8.09,-2.10,10.52,-10.10,-17.43,9.60
Tax %,25.40%,-34.91%,0.00%,0.00%,53.28%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Net Profit +,3.76,-19.11,-17.06,-275.34,-255.45,-13.46,8.01,8.09,-2.10,10.52,-10.10,-17.43,9.60
EPS in Rs,0.79,-4.07,-3.58,-57.36,-53.20,-3.74,2.22,2.24,-0.58,2.91,-2.79,-4.82,2.65
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,184,76,63,109,141,136,99,93,117
Inventory Days,252,111,170,149,321,258,163,185,170
Days Payable,420,127,132,156,154,142,142,145,146
Cash Conversion Cycle,16,60,101,102,308,252,120,133,140
Working Capital Days,-124,-22,-32,16,37,20,-128,-62,-23
ROCE %,,10%,12%,15%,-0%,2%,-9%,6%,5%

--- SHAREHOLDING PATTERN ---
,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,May 2026
Promoters +,37.19%,30.49%,30.49%,37.27%,37.27%,37.23%,37.94%,42.01%,42.01%,42.00%,42.00%,42.00%
FIIs +,17.86%,16.62%,15.80%,14.00%,14.25%,14.67%,14.63%,14.25%,13.58%,11.98%,11.59%,11.34%
DIIs +,1.79%,1.75%,2.97%,2.83%,3.37%,3.19%,2.61%,2.62%,2.69%,3.64%,3.75%,3.77%
Public +,43.16%,51.14%,50.73%,45.89%,45.11%,44.92%,44.82%,41.10%,41.71%,42.37%,42.66%,42.89%
No. of Shareholders,"74,473","72,918","73,912","77,170","71,882","83,148","75,791","74,334","72,479","71,890","70,400","70,037"

--- CAGR BOXES ---




