--- ABOUT ---
"Incorporated in 1961, WS Industries Ltd operates primarily in Infra segment [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
507,66.8,102 / 59.2,215

Book Value,Dividend Yield,ROCE,ROE
52.1,0.00,3.06,0.80

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,50.70,45.83,81.05,110.39,89.12,71.71,62.07,65.59,39.67,26.05,24.05,20.57,20.83
Expenses +,52.65,40.75,68.29,94.91,81.24,64.42,55.83,67.95,40.04,22.75,21.63,20.83,17.21
Operating Profit,-1.95,5.08,12.76,15.48,7.88,7.29,6.24,-2.36,-0.37,3.30,2.42,-0.26,3.62
OPM %,-3.85%,11.08%,15.74%,14.02%,8.84%,10.17%,10.05%,-3.60%,-0.93%,12.67%,10.06%,-1.26%,17.38%
Other Income +,3.55,1.49,0.17,0.14,0.04,0.68,0.83,1.41,1.08,1.08,0.64,0.73,2.01
Interest,1.91,1.52,1.31,1.51,1.63,1.66,1.88,2.31,2.30,2.16,2.26,2.23,2.15
Depreciation,0.08,0.08,0.19,0.20,0.26,0.36,0.55,0.56,0.55,0.44,0.44,0.45,0.44
Profit before tax,-0.39,4.97,11.43,13.91,6.03,5.95,4.64,-3.82,-2.14,1.78,0.36,-2.21,3.04
Tax %,0.00%,0.00%,0.00%,0.00%,-175.95%,37.82%,16.59%,520.16%,-22.90%,23.60%,19.44%,-8.60%,14.80%
Net Profit +,-0.40,4.97,11.43,13.91,16.64,3.70,3.87,-23.69,-1.65,1.36,0.29,-2.02,2.59
EPS in Rs,-0.10,1.11,2.43,2.96,3.31,0.61,0.61,-3.73,-0.24,0.23,0.06,-0.29,0.35
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015 6m,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Total Liabilities,393.04,354.92,301.53,257.19,475.64,73.40,72.62,81.56,239.03,349.24,408.75,540.22
Fixed Assets +,186.22,170.38,93.28,84.10,425.63,0.02,0.02,0.02,24.52,151.07,154.26,206.88
CWIP,0.68,0.79,0.70,0.70,0.70,0.00,0.00,0.00,0.00,0.00,2.88,1.26
Investments,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Other Assets +,206.14,183.75,207.53,172.39,49.31,73.38,72.60,81.54,214.51,198.17,251.61,332.08
Total Assets,393.04,354.92,301.53,257.19,475.64,73.40,72.62,81.56,239.03,349.24,408.75,540.22

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,-24.01,-6.41,6.37,-14.61,-118.14,-12.29,-7.06,-16.21,-104.59,113.24,-82.59,-5.97
Cash from Investing Activity +,-0.03,0.63,2.70,0.09,-34.75,0.12,-7.17,141.91,21.20,-127.26,-13.51,-159.42
Cash from Financing Activity +,23.97,-4.37,-3.73,9.54,153.49,10.37,14.19,-103.37,61.99,49.70,84.17,168.00
Net Cash Flow,-0.06,-10.15,5.34,-4.98,0.59,-1.80,-0.04,22.33,-21.40,35.68,-11.93,2.61
Free Cash Flow,-24.37,-7.00,6.08,-14.61,-152.92,-12.31,-14.23,125.58,-103.23,-14.03,-90.74,-94.39
CFO/OP,142%,28%,-18%,-949%,54%,22%,107%,"3,058%","-55,047%",274%,-739%,-91%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,"1,203.93","1,862.69","5,898.03",459.09,"9,368.33","14,930.24",,,386.21,94.72,112.73,232.84
Inventory Days,"1,567.23","12,707.84",38.59,"3,228.85",,,,,25.19,41.35,35.03,10.25
Days Payable,"1,894.24","14,903.68","1,216.42","79,064.62",,,,,192.17,100.19,82.91,73.20
Cash Conversion Cycle,876.92,-333.15,"4,720.19","-75,376.68","9,368.33","14,930.24",,,219.23,35.88,64.85,169.89
Working Capital Days,"-4,491.10","-14,485.39","-61,484.72","-45,548.76","-131,543.79","-220,546.90",,,-181.88,-15.12,55.98,217.52
ROCE %,-8.02%,-16.21%,-3.33%,21.34%,-75.35%,-27.30%,-21.00%,-0.87%,1.22%,25.24%,5.30%,3.06%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,57.45%,57.68%,57.60%,58.53%,62.89%,60.38%,60.38%,60.69%,60.80%,61.13%,59.35%,51.64%
FIIs +,0.00%,0.00%,0.00%,0.01%,0.00%,1.06%,1.07%,1.08%,1.08%,0.98%,0.76%,13.67%
DIIs +,0.16%,0.15%,0.15%,0.14%,0.12%,0.11%,0.14%,0.14%,0.14%,0.11%,0.11%,0.09%
Public +,42.38%,42.16%,42.24%,41.31%,37.00%,38.46%,38.43%,38.08%,37.97%,37.79%,39.78%,34.61%
No. of Shareholders,"7,796","8,329","8,717","13,680","15,890","20,510","20,844","20,381","19,784","19,505","18,592","18,307"

--- CAGR BOXES ---
Compounded Sales Growth
10 Years:,29%
5 Years:,%
3 Years:,5%
TTM:,-62%

Compounded Profit Growth
10 Years:,8%
5 Years:,19%
3 Years:,-44%
TTM:,113%

Stock Price CAGR
10 Years:,21%
5 Years:,57%
3 Years:,-13%
1 Year:,-20%

Return on Equity
10 Years:,%
5 Years:,%
3 Years:,6%
Last Year:,1%

