--- ABOUT ---
Orchid Pharma is a pharmaceutical company engaged in the development and manufacture of active pharmaceutical ingredients (APIs) and finished dosage forms. It is also engaged in research of new drugs. [1]

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"4,966",979,"1,096",183

Book Value,Dividend Yield,ROCE,ROE
254,0.00,2.64,2.12

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,210,183,199,221,217,244,223,217,237,173,194,207,238
Expenses +,170,161,175,185,188,212,192,191,209,159,195,206,211
Operating Profit,40,22,23,35,29,32,30,26,28,14,-1,2,27
OPM %,19%,12%,12%,16%,13%,13%,14%,12%,12%,8%,-1%,1%,11%
Other Income +,34,2,8,8,13,8,8,8,4,11,11,-2,8
Interest,7,6,4,4,3,4,3,4,4,3,4,3,3
Depreciation,7,8,8,9,8,8,9,9,9,9,9,9,9
Profit before tax,59,11,20,30,30,28,26,22,19,14,-3,-12,23
Tax %,0%,0%,0%,0%,-10%,-1%,0%,0%,-0%,0%,0%,0%,0%
Net Profit +,59,9,20,29,33,29,27,21,22,15,-6,-13,24
EPS in Rs,14.49,1.85,3.90,5.80,6.50,5.79,5.37,4.10,4.39,2.94,-1.13,-2.49,4.69
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015 18m,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,-369,212,401,9,12,81,24,92,18,126,19,101
Cash from Investing Activity +,"1,334",-1,-176,-28,45,167,67,113,-31,-312,-27,-285
Cash from Financing Activity +,-597,-286,-465,33,-0,-250,-165,-217,31,167,25,170
Net Cash Flow,367,-76,-240,15,57,-2,-74,-11,18,-19,18,-14
Free Cash Flow,965,211,392,3,5,77,23,238,-8,61,-131,-273
CFO/OP,-102%,124%,"13,628%",67%,-138%,-226%,63%,173%,22%,113%,17%,240%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,54,130,75,64,73,51,110,111,118,87,96,119
Inventory Days,118,220,196,202,214,254,244,201,217,199,219,178
Days Payable,146,341,402,374,381,182,176,195,165,173,149,160
Cash Conversion Cycle,26,9,-130,-108,-94,123,179,117,170,113,166,137
Working Capital Days,-49,-168,-500,-876,"-1,158",166,302,97,54,118,135,145
ROCE %,1%,1%,-4%,-4%,-5%,-6%,-5%,-2%,5%,9%,8%,3%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,72.40%,72.40%,69.84%,69.84%,69.84%,69.84%,69.84%,69.84%,69.84%,69.84%,69.84%,69.84%
FIIs +,8.58%,8.08%,4.14%,1.96%,1.42%,1.94%,2.53%,2.69%,1.39%,1.56%,1.17%,0.87%
DIIs +,13.48%,12.46%,14.51%,17.73%,18.93%,18.30%,19.00%,20.10%,19.43%,19.04%,19.38%,20.24%
Public +,5.54%,7.05%,11.52%,10.47%,9.82%,9.94%,8.63%,7.37%,9.34%,9.57%,9.61%,9.04%
No. of Shareholders,"29,132","29,197","36,931","36,720","34,695","36,363","34,158","34,303","39,827","38,155","35,709","35,118"

--- CAGR BOXES ---




