Cash from Financing Activity +,"-2,437","-8,862","-5,552","-16,412","-5,466","6,610","-4,882","-6,765","-10,450","-10,817","-1,816","20,087"
Net Cash Flow,833,-394,"4,259",-181,"1,055","12,174","-12,930","3,300","1,199","-1,028","-2,015","3,754"
Free Cash Flow,"1,427","7,636","9,818","7,942","6,009","5,933","11,715","11,483","9,571","8,378","4,006","-19,508"
CFO/OP,94%,166%,109%,94%,89%,89%,105%,73%,97%,112%,94%,48%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,32,29,30,32,32,29,36,39,27,28,30,36
Inventory Days,104,103,120,115,103,120,146,138,111,111,123,156
Days Payable,87,92,115,108,96,98,135,128,93,94,102,127
Cash Conversion Cycle,49,40,36,38,39,51,47,49,45,45,51,65
Working Capital Days,-6,4,-17,17,18,3,3,-3,13,9,23,13
ROCE %,6%,4%,8%,10%,11%,9%,9%,17%,11%,11%,15%,14%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,34.65%,34.65%,34.65%,34.65%,34.65%,34.65%,34.65%,34.65%,34.65%,34.65%,34.65%,34.65%
FIIs +,26.25%,27.01%,27.89%,26.82%,27.18%,28.58%,28.04%,28.15%,27.60%,28.13%,28.16%,29.96%
DIIs +,26.08%,25.78%,25.06%,25.64%,25.41%,24.17%,24.53%,24.68%,24.93%,24.11%,23.17%,21.35%
Government +,0.22%,0.22%,0.35%,0.35%,0.35%,0.35%,0.35%,0.35%,0.35%,0.35%,0.35%,0.35%
Public +,12.42%,11.92%,11.59%,12.08%,11.98%,11.78%,11.99%,11.71%,12.01%,12.23%,13.16%,13.21%
Others +,0.39%,0.42%,0.47%,0.46%,0.44%,0.50%,0.48%,0.47%,0.45%,0.54%,0.51%,0.49%
No. of Shareholders,"6,66,489","6,13,244","5,49,231","6,41,541","6,49,551","6,45,537","6,94,836","6,81,098","6,90,932","6,65,009","6,79,190","6,91,308"

--- CAGR BOXES ---
Compounded Sales Growth
10 Years:,11%
5 Years:,16%
3 Years:,7%
TTM:,15%

Compounded Profit Growth
10 Years:,79%
5 Years:,36%
3 Years:,20%
TTM:,9%

Stock Price CAGR
10 Years:,23%
5 Years:,22%
3 Years:,34%
1 Year:,56%

Return on Equity
10 Years:,11%
5 Years:,13%
3 Years:,13%
Last Year:,13%

