--- ABOUT ---
"EClerx Services Ltd incorporated in 2000, provides business process management, automation and analytics services to a number of Fortune 2000 enterprises, including some of the world's leading financial services, communications, retail, fashion, media & entertainment, manufacturing, travel & leisure and technology companies [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"13,343","1,419","2,498",18.9

Book Value,Dividend Yield,ROCE,ROE
272,0.04,34.8,29.0

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,693,684,722,753,767,782,832,854,898,935,"1,005","1,070","1,107"
Expenses +,486,517,517,546,571,616,616,646,680,714,734,794,824
Operating Profit,207,167,205,207,196,166,216,207,219,221,271,276,284
OPM %,30%,24%,28%,28%,26%,21%,26%,24%,24%,24%,27%,26%,26%
Other Income +,5,8,14,19,23,21,13,21,32,14,27,30,30
Interest,6,6,6,6,6,8,8,8,11,10,11,10,12
Depreciation,32,28,30,34,34,32,33,36,41,37,42,46,50
Profit before tax,174,141,182,187,179,148,188,184,199,188,245,250,252
Tax %,24%,24%,25%,26%,28%,24%,26%,25%,23%,25%,25%,23%,25%
Net Profit +,132,107,136,139,130,112,140,137,153,142,183,192,190
EPS in Rs,13.51,10.84,13.86,14.13,13.31,11.38,14.72,14.38,15.97,14.87,19.22,20.40,20.13
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Net Cash Flow,66,86,-108,28,-77,49,174,71,-2,-64,188,111
Free Cash Flow,182,366,283,264,154,299,326,383,403,462,539,756
CFO/OP,98%,87%,68%,83%,67%,102%,81%,92%,93%,90%,101%,104%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,49,52,59,62,62,60,68,56,61,88,86,59
Inventory Days,,,,,,,,,,,,
Days Payable,,,,,,,,,,,,
Cash Conversion Cycle,49,52,59,62,62,60,68,56,61,88,86,59
Working Capital Days,22,52,74,72,70,44,46,47,46,61,59,85
ROCE %,46%,51%,38%,30%,24%,21%,24%,34%,36%,32%,28%,35%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,53.61%,53.61%,53.61%,53.61%,53.61%,53.81%,53.81%,53.81%,53.81%,53.81%,53.81%,54.53%
FIIs +,12.62%,12.13%,11.81%,12.19%,11.78%,10.31%,10.27%,10.12%,10.16%,10.95%,11.39%,11.82%
DIIs +,20.89%,21.64%,22.91%,22.75%,22.49%,24.02%,24.19%,25.12%,26.04%,25.72%,25.31%,23.95%
Government +,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%
Public +,11.14%,10.92%,10.04%,9.78%,10.68%,10.42%,10.38%,9.49%,8.59%,7.98%,7.67%,7.53%
Others +,1.72%,1.68%,1.63%,1.66%,1.43%,1.42%,1.33%,1.44%,1.39%,1.52%,1.80%,2.15%
No. of Shareholders,"53,484","49,715","52,639","49,157","1,46,680","58,048","68,025","69,424","66,300","65,927","70,296","67,142"

--- CAGR BOXES ---




