Borrowings +,"2,358","1,898","1,391",867,871,932,"1,001","2,529","3,347","3,099","3,267","4,111"
Other Liabilities +,685,725,855,927,954,866,"1,166","1,517","1,444","1,731","1,980","2,700"
Total Liabilities,"5,318","5,398","5,789","5,878","6,479","6,806","8,166","10,979","12,348","13,685","15,635","17,766"
Fixed Assets +,"2,415","2,859","2,849","2,849","2,786","3,308","3,370","4,019","5,384","6,317","6,941","7,409"
CWIP,634,231,110,119,600,587,856,"1,258","1,392",944,986,"2,472"
Investments,444,836,"1,349","1,103","1,083","1,062","1,418","1,897","2,037","2,686","3,264","3,124"
Other Assets +,"1,825","1,473","1,481","1,808","2,010","1,850","2,523","3,805","3,535","3,737","4,443","4,761"
Total Assets,"5,318","5,398","5,789","5,878","6,479","6,806","8,166","10,979","12,348","13,685","15,635","17,766"

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,984,"1,072",847,750,820,"1,173","1,339",908,"1,448","2,082","1,764","2,249"
Cash from Investing Activity +,-435,-552,-563,-92,-636,-678,"-1,173","-1,897","-1,783","-1,475","-1,480","-2,523"
Cash from Financing Activity +,-130,-625,-589,-654,-165,-495,-158,980,359,-601,-279,254
Net Cash Flow,419,-105,-306,4,20,1,8,-9,23,5,6,-19
Free Cash Flow,614,833,666,339,86,390,416,-681,-304,"1,001",316,-749
CFO/OP,165%,151%,103%,103%,94%,115%,93%,68%,105%,111%,91%,115%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,56,43,40,39,36,45,48,48,42,56,52,49
Inventory Days,76,102,110,105,113,105,148,162,124,108,129,126
Days Payable,74,88,87,70,58,65,103,80,37,66,54,64
Cash Conversion Cycle,58,58,64,75,92,84,93,130,129,99,126,111
Working Capital Days,-23,-61,-38,76,13,-4,7,-3,-10,-17,-16,0
ROCE %,17%,15%,20%,22%,22%,17%,24%,24%,14%,16%,17%,12%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,58.30%,58.30%,58.30%,58.30%,58.30%,58.30%,58.30%,58.30%,58.30%,58.30%,58.30%,58.30%
FIIs +,12.40%,12.53%,12.69%,12.24%,12.61%,11.72%,11.28%,11.46%,10.50%,10.70%,11.00%,11.13%
DIIs +,20.90%,21.11%,21.32%,21.97%,22.29%,23.31%,23.81%,23.63%,24.71%,24.55%,24.42%,24.25%
Government +,0.10%,0.10%,0.10%,0.11%,0.15%,0.15%,0.15%,0.15%,0.14%,0.14%,0.00%,0.00%
Public +,8.30%,7.94%,7.59%,7.38%,6.65%,6.52%,6.46%,6.46%,6.37%,6.31%,6.29%,6.32%
No. of Shareholders,"1,40,490","1,36,214","1,25,341","1,34,831","1,23,435","1,24,388","1,18,966","1,23,755","1,27,401","1,23,406","1,23,337","1,20,740"

--- CAGR BOXES ---
Compounded Sales Growth
10 Years:,13%
5 Years:,13%
3 Years:,4%
TTM:,4%

Compounded Profit Growth
10 Years:,11%
5 Years:,1%
3 Years:,8%
TTM:,-18%

Stock Price CAGR
10 Years:,21%
5 Years:,0%
3 Years:,-3%
1 Year:,-7%

Return on Equity
10 Years:,17%
5 Years:,15%
3 Years:,14%
Last Year:,12%

