Other Liabilities +,"2,477","3,507","4,245","3,181","3,996","5,514","4,769","5,387","5,065","5,654","4,148","4,881"
Total Liabilities,"10,670","14,782","18,098","19,253","21,278","21,109","20,668","19,882","16,630","15,123","12,916","12,631"
Fixed Assets +,49,387,"2,155","2,061","1,967","1,884","1,787","1,693","1,617",43,38,32
CWIP,0,0,0,0,0,0,0,0,0,0,0,0
Investments,"1,293","1,102",974,400,291,564,972,768,326,284,377,941
Other Assets +,"9,328","13,293","14,970","16,792","19,020","18,662","17,909","17,421","14,686","14,796","12,500","11,658"
Total Assets,"10,670","14,782","18,098","19,253","21,278","21,109","20,668","19,882","16,630","15,123","12,916","12,631"

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,-497,"-1,281",111,"-1,438",-108,"3,294","2,108","3,049","3,575","2,451","2,132","2,817"
Cash from Investing Activity +,-160,87,"-1,374",249,244,-414,-505,46,168,-519,869,-824
Cash from Financing Activity +,709,"1,124","1,353","1,278",-408,"-2,570","-1,085","-2,788","-4,019","-2,042","-2,165","-3,428"
Net Cash Flow,52,-70,91,89,-272,309,518,308,-276,-110,835,"-1,434"
Free Cash Flow,-500,"-1,594","-1,366","-1,754",-111,"3,292","2,105","3,040","3,574","2,448","2,127","2,813"
CFO/OP,-29%,-88%,28%,-99%,9%,194%,130%,193%,275%,247%,211%,347%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,67,101,78,95,118,141,123,156,130,125,107,95
Inventory Days,0,,0,0,0,0,0,0,0,0,0,0
Days Payable,,,,,,,,,,,,
Cash Conversion Cycle,67,101,78,95,118,141,123,156,130,125,107,95
Working Capital Days,7,-4,-62,-79,-23,8,20,25,24,52,36,37
ROCE %,13%,12%,12%,8%,11%,10%,10%,9%,9%,10%,12%,13%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,16.22%,16.22%,16.22%,16.22%,16.22%,16.22%,16.22%,16.22%,16.22%,16.22%,16.22%,16.22%
FIIs +,28.28%,27.47%,28.78%,29.41%,33.07%,33.31%,28.67%,25.72%,28.75%,28.92%,27.81%,27.46%
DIIs +,8.31%,7.82%,6.32%,5.91%,5.78%,5.73%,5.69%,6.77%,6.81%,6.83%,6.71%,7.52%
Government +,3.38%,3.38%,3.38%,3.38%,3.38%,3.38%,3.38%,3.38%,3.38%,3.38%,3.38%,3.38%
Public +,43.81%,45.10%,45.30%,45.09%,41.55%,41.35%,46.05%,47.92%,44.85%,44.65%,45.89%,45.43%
No. of Shareholders,"1,97,015","2,05,905","2,15,611","2,49,937","2,51,163","2,55,754","2,73,242","2,74,500","2,66,059","2,69,199","2,73,627","2,70,599"

--- CAGR BOXES ---
Compounded Sales Growth
10 Years:,2%
5 Years:,-2%
3 Years:,2%
TTM:,3%

Compounded Profit Growth
10 Years:,7%
5 Years:,6%
3 Years:,11%
TTM:,-9%

Stock Price CAGR
10 Years:,10%
5 Years:,12%
3 Years:,17%
1 Year:,10%

Return on Equity
10 Years:,10%
5 Years:,10%
3 Years:,11%
Last Year:,10%

