Total Assets,"233,883","231,715","273,719","295,860","335,363","329,962","355,145","410,882","441,995","482,683","507,222","528,955"

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,"46,092","25,624","28,216","29,115","12,747","7,146","49,650","25,747","29,644","71,146","34,699","76,142"
Cash from Investing Activity +,"-10,215","-13,610","-17,684","-17,119","-22,569","-29,101","-22,935","-21,294","-28,030","-31,512","-31,848","-22,274"
Cash from Financing Activity +,"-38,283","-11,890","-10,937","-12,007","10,436","22,456","-27,369","-4,058","-1,794","-39,385","-3,425","-52,672"
Net Cash Flow,"-2,406",124,-405,-11,614,502,-653,395,-180,250,-573,"1,197"
Free Cash Flow,"33,680","9,576","14,388","11,086","-12,748","-24,277","27,904","2,290","-2,524","34,453",421,"48,881"
CFO/OP,458%,130%,103%,87%,52%,58%,135%,70%,101%,110%,105%,114%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,6,8,9,9,11,10,14,12,7,6,9,7
Inventory Days,46,54,87,77,64,59,111,84,59,70,63,68
Days Payable,29,31,41,40,34,24,49,37,27,34,34,33
Cash Conversion Cycle,23,31,55,46,41,45,76,59,40,42,39,41
Working Capital Days,-12,-20,-45,-37,-28,-46,-58,-34,-26,-33,-42,-28
ROCE %,6%,14%,20%,22%,16%,5%,15%,16%,8%,21%,7%,19%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,51.50%,51.50%,51.50%,51.50%,51.50%,51.50%,51.50%,51.50%,51.50%,51.50%,51.50%,51.50%
FIIs +,7.56%,7.84%,8.84%,8.49%,7.79%,7.90%,7.43%,7.39%,7.48%,7.69%,8.57%,9.84%
DIIs +,11.55%,10.70%,9.90%,10.23%,10.04%,10.43%,10.08%,9.97%,10.29%,10.42%,10.00%,9.10%
Government +,19.60%,19.60%,19.60%,19.57%,19.57%,19.57%,19.57%,19.57%,19.57%,19.57%,19.57%,19.57%
Public +,9.77%,10.36%,10.13%,10.18%,11.07%,10.59%,11.39%,11.57%,11.15%,10.81%,10.34%,9.96%
No. of Shareholders,"17,91,349","19,72,340","20,65,514","24,28,561","27,29,165","27,81,746","30,82,717","31,89,614","30,80,100","29,75,614","28,15,980","27,89,940"

--- CAGR BOXES ---
Compounded Sales Growth
10 Years:,9%
5 Years:,17%
3 Years:,-2%
TTM:,3%

Compounded Profit Growth
10 Years:,14%
5 Years:,14%
3 Years:,63%
TTM:,249%

Stock Price CAGR
10 Years:,7%
5 Years:,14%
3 Years:,16%
1 Year:,3%

Return on Equity
10 Years:,16%
5 Years:,16%
3 Years:,17%
Last Year:,21%

