Total Liabilities,"6,403","4,939","7,009","9,522","11,387","12,450","14,559","16,140","19,198","23,115","27,174","32,164"
Fixed Assets +,"2,309",790,873,"1,502","1,875","2,378","2,433","2,424","2,690","2,914","3,473","4,385"
CWIP,419,94,374,333,450,312,314,505,472,555,491,203
Investments,"1,078","3,388","4,987","5,581","4,923","5,749","3,902","7,721","12,321","13,527","14,791","17,496"
Other Assets +,"2,597",667,775,"2,106","4,140","4,011","7,909","5,490","3,715","6,119","8,419","10,080"
Total Assets,"6,403","4,939","7,009","9,522","11,387","12,450","14,559","16,140","19,198","23,115","27,174","32,164"

--- CASH FLOW ---
,Dec 2014,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,"1,047","1,463","1,708","2,482","1,575","1,694","1,691","1,527","2,823","3,724","3,980","4,805"
Cash from Investing Activity +,"-1,214","-1,001","-1,744","-2,145",-660,"-1,508","-1,625",-983,"-2,397","-2,834","-2,461","-2,964"
Cash from Financing Activity +,-162,-466,25,-262,-292,-858,-15,-593,-417,-844,"-1,399","-1,983"
Net Cash Flow,-329,-4,-10,75,623,-673,51,-50,8,45,121,-142
Free Cash Flow,79,954,"1,161","1,736",786,"1,150","1,176",888,"2,149","2,909","2,951","3,538"
CFO/OP,119%,117%,109%,117%,86%,106%,120%,94%,104%,111%,107%,107%

--- RATIOS ---
,Dec 2014,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,23,2,3,3,3,3,7,11,9,8,11,6
Inventory Days,41,33,33,31,46,42,62,69,57,57,55,55
Days Payable,96,77,75,92,89,74,108,110,80,85,90,76
Cash Conversion Cycle,-31,-42,-40,-58,-40,-28,-39,-29,-14,-19,-24,-16
Working Capital Days,-35,-47,-55,-64,-42,-44,-30,-15,-14,5,31,67
ROCE %,28%,51%,53%,49%,41%,25%,17%,18%,27%,31%,30%,31%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,49.18%,49.15%,49.15%,49.14%,49.11%,49.10%,49.09%,49.08%,49.07%,49.06%,49.06%,49.06%
FIIs +,30.28%,28.89%,30.27%,28.95%,28.81%,27.61%,25.42%,25.02%,25.82%,26.98%,27.01%,26.77%
DIIs +,10.03%,10.48%,9.73%,11.04%,11.84%,13.67%,16.11%,16.55%,15.67%,14.62%,14.64%,14.73%
Government +,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%
Public +,10.43%,11.37%,10.76%,10.77%,10.14%,9.52%,9.30%,9.26%,9.35%,9.25%,9.19%,9.35%
No. of Shareholders,"2,45,461","2,80,530","2,48,486","2,63,132","2,56,978","2,47,951","2,46,190","2,49,483","2,54,118","2,52,901","2,60,429","2,80,399"

--- CAGR BOXES ---
Compounded Sales Growth
10 Years:,14%
5 Years:,22%
3 Years:,17%
TTM:,24%

Compounded Profit Growth
10 Years:,15%
5 Years:,33%
3 Years:,24%
TTM:,17%

Stock Price CAGR
10 Years:,15%
5 Years:,23%
3 Years:,29%
1 Year:,38%

Return on Equity
10 Years:,23%
5 Years:,22%
3 Years:,24%
Last Year:,24%

