--- ABOUT ---
Kabra Extrusiontechnik Limited was incorporated in 1982. It is part of the Kolsite group and operates in the business of plastic extrusion machinery. KET specializes in providing plastic extrusion machinery for manufacturing pipes and films. It has two manufacturing locations in Daman. Co. has also started Lithium ion battery packs business from FY21 [1] [2]

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
831,238,330,

Book Value,Dividend Yield,ROCE,ROE
126,1.05,0.65,-1.14

Face Value
5.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,177.96,133.64,182.39,123.86,167.98,88.20,128.00,121.17,139.54,85.97,134.60,110.34,120.15
Expenses +,154.58,121.23,171.00,115.23,140.04,83.26,106.04,107.14,135.19,88.94,125.63,108.85,117.21
Operating Profit,23.38,12.41,11.39,8.63,27.94,4.94,21.96,14.03,4.35,-2.97,8.97,1.49,2.94
OPM %,13.14%,9.29%,6.24%,6.97%,16.63%,5.60%,17.16%,11.58%,3.12%,-3.45%,6.66%,1.35%,2.45%
Other Income +,0.44,1.49,2.40,2.10,3.39,5.38,2.01,2.85,16.17,4.05,1.15,1.41,16.83
Interest,2.99,2.44,2.44,2.37,2.53,2.42,2.38,3.02,3.36,2.66,2.68,2.97,3.09
Depreciation,3.57,3.72,3.87,3.95,4.08,5.05,5.31,4.94,5.40,6.25,7.99,8.10,7.92
Profit before tax,17.26,7.74,7.48,4.41,24.72,2.85,16.28,8.92,11.76,-7.83,-0.55,-8.17,8.76
Tax %,28.22%,25.32%,24.87%,21.77%,23.26%,29.47%,24.26%,21.08%,7.91%,-2.68%,-160.00%,-39.05%,21.35%
Net Profit +,12.39,5.78,5.63,3.45,18.97,2.01,12.33,7.04,10.83,-7.61,0.33,-4.98,6.90
EPS in Rs,3.69,1.72,1.61,0.99,5.42,0.57,3.53,2.01,3.10,-2.18,0.09,-1.42,1.97
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,49,47,60,53,27,29,50,60,60,70,65
Inventory Days,118,137,223,259,339,231,272,157,206,365,373
Days Payable,58,69,122,93,121,88,137,61,70,94,85
Cash Conversion Cycle,109,114,161,219,244,172,185,156,195,341,353
Working Capital Days,37,59,83,98,80,63,92,68,88,106,133
ROCE %,,11%,9%,13%,3%,12%,13%,15%,11%,7%,1%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,60.23%,60.24%,60.24%,60.24%,60.24%,60.24%,60.23%,60.23%,60.21%,60.50%,60.50%,60.49%
FIIs +,2.27%,3.85%,3.78%,3.67%,3.41%,3.32%,2.96%,1.46%,0.81%,0.37%,0.39%,0.35%
DIIs +,0.09%,0.01%,0.01%,0.01%,0.01%,0.01%,0.33%,0.69%,0.69%,0.65%,0.06%,0.02%
Public +,37.41%,35.91%,35.97%,36.08%,36.33%,36.43%,36.47%,37.59%,38.29%,38.48%,39.05%,39.14%
No. of Shareholders,"27,493","29,453","30,185","29,965","32,953","31,945","30,052","28,882","29,453","29,494","28,688","27,137"

--- CAGR BOXES ---




