Total Liabilities,"15,966","17,240","21,638","25,141","28,834","26,510","33,602","35,111","35,136","39,344","54,110","77,223"
Fixed Assets +,"2,448","2,026","2,002","1,878","1,764","1,699","1,668","1,836","2,842","3,217","3,677","13,362"
CWIP,255,52,42,56,48,60,16,77,85,35,61,120
Investments,"8,985","11,067","15,477","18,895","20,603","19,914","24,687","26,634","26,183","28,087","28,914","24,642"
Other Assets +,"4,277","4,095","4,117","4,312","6,420","4,837","7,232","6,564","6,026","8,005","21,459","39,099"
Total Assets,"15,966","17,240","21,638","25,141","28,834","26,510","33,602","35,111","35,136","39,344","54,110","77,223"

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,"2,114","3,690","3,267","4,328","2,487","3,850","3,120","4,197","5,277","6,558","-1,406","2,597"
Cash from Investing Activity +,-380,-68,"-3,610","-1,954",-273,"1,766","-2,869",276,"1,211",-72,"-1,053","-7,034"
Cash from Financing Activity +,"-1,644","-3,384",-190,"-1,885","-2,074","-6,247",-20,"-4,056","-7,181","-6,167","4,230","5,079"
Net Cash Flow,90,238,-532,488,140,-630,231,417,-692,319,"1,771",642
Free Cash Flow,"1,819","3,419","3,070","4,145","2,379","3,570","2,866","3,680","4,304","5,847","-2,273","1,885"
CFO/OP,82%,115%,108%,124%,86%,108%,90%,112%,111%,102%,14%,46%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,12,12,16,22,31,21,36,17,18,17,15,20
Inventory Days,20,17,18,16,16,18,28,18,22,19,22,54
Days Payable,43,49,56,68,63,56,85,54,58,64,66,76
Cash Conversion Cycle,-11,-20,-22,-31,-17,-16,-22,-19,-18,-28,-29,-1
Working Capital Days,-22,-4,-2,-21,-4,-9,-0,-3,-9,-30,-6,68
ROCE %,40%,45%,35%,31%,30%,30%,25%,23%,27%,34%,28%,28%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,54.99%,54.99%,54.95%,55.06%,55.06%,55.04%,55.04%,55.03%,55.04%,55.04%,54.99%,55.01%
FIIs +,13.67%,14.37%,14.64%,14.53%,14.19%,14.32%,12.45%,11.61%,10.30%,9.66%,8.84%,8.82%
DIIs +,9.56%,9.03%,8.66%,8.47%,8.73%,8.67%,9.98%,10.92%,12.01%,12.78%,14.07%,14.35%
Government +,0.07%,0.07%,0.07%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.00%,0.00%,0.12%
Public +,21.72%,21.54%,21.67%,21.88%,21.92%,21.89%,22.44%,22.32%,22.53%,22.51%,22.01%,21.62%
Others +,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.04%,0.03%,0.01%,0.09%,0.08%
No. of Shareholders,"2,02,928","1,96,543","2,00,795","2,97,605","2,74,956","2,69,698","3,47,655","3,44,314","3,58,806","3,57,666","3,33,792","3,14,095"

--- CAGR BOXES ---
Compounded Sales Growth
10 Years:,11%
5 Years:,18%
3 Years:,20%
TTM:,23%

Compounded Profit Growth
10 Years:,10%
5 Years:,17%
3 Years:,21%
TTM:,48%

Stock Price CAGR
10 Years:,14%
5 Years:,19%
3 Years:,30%
1 Year:,20%

Return on Equity
10 Years:,23%
5 Years:,24%
3 Years:,26%
Last Year:,29%

