--- ABOUT ---
Shree Cement is engaged in manufacturing and selling of cement and cement related products and is ** one of the lowest cost producers in the country. It is the 3rd largest** cement producer in India with an installed capacity of 46.4 MTPA. [1]

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"90,472","25,075","32,508",51.9

Book Value,Dividend Yield,ROCE,ROE
"6,449",0.44,10.5,7.78

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"5,100","5,036","4,774","5,193","5,401","5,124","4,054","4,573","5,532","5,281","4,761","4,801","6,101"
Expenses +,"4,211","4,091","3,888","3,930","3,979","4,197","3,441","3,608","4,103","3,948","3,787","3,853","4,717"
Operating Profit,889,945,886,"1,264","1,422",927,613,965,"1,429","1,333",974,947,"1,384"
OPM %,17%,19%,19%,24%,26%,18%,15%,21%,26%,25%,20%,20%,23%
Other Income +,146,169,132,147,150,139,181,111,158,235,179,146,101
Interest,71,74,67,55,62,56,56,52,41,46,51,59,56
Depreciation,473,339,412,444,702,704,716,799,788,654,668,710,762
Profit before tax,491,700,539,913,807,306,23,225,758,868,434,324,667
Tax %,-7%,18%,17%,23%,16%,9%,-229%,14%,24%,26%,29%,17%,21%
Net Profit +,525,572,447,702,676,278,77,194,575,644,310,268,528
EPS in Rs,145.72,158.62,123.79,194.53,187.05,77.22,21.19,53.60,159.18,178.12,85.51,73.92,145.70
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Jun 2015,Mar 2016 9m,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Investments,"1,662","3,030","4,042","5,434","2,286","6,358","8,500","9,033","8,683","7,556","7,849","10,272"
Other Assets +,"2,820","3,118","3,814","4,691","5,896","6,227","5,800","6,380","7,373","8,848","7,504","8,531"
Total Assets,"7,998","9,463","11,166","15,142","15,493","19,944","21,513","23,749","26,334","27,925","28,464","31,476"

--- CASH FLOW ---
,Jun 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,"1,239","1,566","2,202","1,879","2,080","3,973","4,254","2,668","2,569","3,347","4,920","3,794"
Cash from Investing Activity +,-990,"-1,265","-2,048","-3,595",-720,"-5,590","-2,651","-2,143","-2,405","-1,418","-3,726","-3,740"
Cash from Financing Activity +,-259,-271,-167,"1,726","-1,276","1,581","-1,233",-849,-277,"-1,710","-1,296",-110
Net Cash Flow,-10,31,-13,10,84,-36,370,-324,-113,220,-102,-55
Free Cash Flow,115,832,922,-648,158,"2,433","3,125",459,-710,178,837,"1,979"
CFO/OP,99%,121%,99%,96%,83%,118%,122%,77%,98%,84%,136%,89%

--- RATIOS ---
,Jun 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,28,22,14,17,30,31,18,19,25,23,27,32
Inventory Days,708,657,765,743,672,631,585,878,703,670,444,469
Days Payable,225,207,205,345,193,242,301,313,305,229,247,274
Cash Conversion Cycle,511,472,575,416,509,420,302,584,423,464,223,227
Working Capital Days,18,32,22,11,62,5,-21,-1,-27,7,-8,135
ROCE %,9%,18%,20%,18%,13%,15%,19%,17%,9%,15%,7%,10%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,62.56%,62.56%,62.56%,62.56%,62.56%,62.56%,62.56%,62.56%,62.56%,62.56%,62.56%,62.56%
FIIs +,12.62%,12.22%,12.31%,12.47%,11.85%,10.39%,9.88%,9.70%,10.07%,10.34%,10.07%,8.94%
DIIs +,11.83%,12.37%,12.37%,12.14%,12.78%,14.22%,14.78%,15.07%,14.65%,14.40%,14.59%,15.79%
Government +,0.17%,0.17%,0.17%,0.18%,0.23%,0.23%,0.25%,0.25%,0.25%,0.25%,0.25%,0.25%
Public +,12.83%,12.69%,12.60%,12.64%,12.59%,12.60%,12.53%,12.42%,12.48%,12.46%,12.54%,12.48%
No. of Shareholders,"32,176","27,738","24,852","28,268","26,744","29,903","25,531","24,779","25,592","26,178","28,755","29,592"

--- CAGR BOXES ---




