--- ABOUT ---
"Cemindia Projects Ltd. is engaged in the business of providing design, engineering, procurement and construction (EPC) services for infrastructure projects in India. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"21,508","1,252","1,257",36.6

Book Value,Dividend Yield,ROCE,ROE
140,0.24,32.8,27.8

Face Value
1.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"1,631","1,833","1,610","2,017","2,258","2,381","1,991","2,270","2,532","2,542","2,195","2,315","2,973"
Expenses +,"1,491","1,671","1,452","1,812","2,037","2,160","1,809","2,063","2,277","2,310","1,993","2,094","2,616"
Operating Profit,140,162,158,205,221,221,182,207,255,233,202,222,358
OPM %,9%,9%,10%,10%,10%,9%,9%,9%,10%,9%,9%,10%,12%
Other Income +,7,13,14,15,22,16,23,10,16,22,41,23,92
Interest,51,51,52,58,57,53,57,59,62,50,53,50,61
Depreciation,31,45,53,56,54,49,47,45,51,41,43,43,39
Profit before tax,65,79,68,106,130,135,100,113,157,164,146,152,350
Tax %,42%,34%,21%,26%,31%,26%,28%,23%,28%,16%,26%,27%,31%
Net Profit +,38,52,54,79,90,100,72,87,113,137,108,111,242
EPS in Rs,2.20,3.04,3.12,4.56,5.21,5.83,4.19,5.07,6.60,7.99,6.27,6.46,14.10
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Mar 2019 15m,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,91,39,27,42,50,75,71,60,77,57,39,47
Inventory Days,641,530,61,92,75,99,144,118,119,86,73,82
Days Payable,236,340,340,363,171,225,311,276,275,179,232,238
Cash Conversion Cycle,496,229,-252,-229,-45,-51,-96,-99,-78,-36,-120,-110
Working Capital Days,8,-34,-36,-38,32,-21,2,-19,-35,-26,-8,6
ROCE %,5%,14%,19%,24%,20%,15%,10%,14%,19%,27%,28%,33%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,46.64%,46.64%,46.64%,46.64%,46.64%,46.64%,46.64%,46.64%,67.46%,67.46%,67.46%,67.46%
FIIs +,13.46%,14.42%,13.90%,17.08%,20.00%,20.99%,17.04%,13.95%,9.21%,8.36%,8.19%,7.31%
DIIs +,4.57%,3.38%,1.94%,1.82%,2.44%,2.32%,2.60%,6.14%,0.79%,0.72%,1.50%,1.94%
Public +,35.34%,35.56%,37.53%,34.46%,30.92%,30.06%,33.72%,33.28%,22.55%,23.45%,22.84%,23.28%
No. of Shareholders,"57,196","73,005","76,050","78,347","86,975","1,08,988","1,07,317","1,02,140","92,686","98,422","94,807","90,782"

--- CAGR BOXES ---




