Total Liabilities,"3,315","3,714","4,770","5,199","5,904","6,523","8,814","9,494","10,505","12,076","13,984","15,433"
Fixed Assets +,978,"1,137","1,275","1,342","1,448","1,807","4,418","4,703","4,914","5,451","5,705","5,774"
CWIP,462,158,148,228,242,259,294,225,406,148,129,329
Investments,370,706,"1,443","1,246","1,548","1,186",516,459,881,"2,235","3,551","4,350"
Other Assets +,"1,505","1,713","1,904","2,383","2,666","3,270","3,586","4,107","4,304","4,242","4,598","4,981"
Total Assets,"3,315","3,714","4,770","5,199","5,904","6,523","8,814","9,494","10,505","12,076","13,984","15,433"

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,552,907,794,796,845,"1,280","1,392",955,"1,558","2,724","2,287","2,828"
Cash from Investing Activity +,-436,-491,-879,39,-513,103,"-1,688",-558,-899,"-1,769","-1,542","-1,224"
Cash from Financing Activity +,-165,-371,41,-790,-361,-849,-76,-468,-656,-742,-918,"-1,673"
Net Cash Flow,-49,45,-45,46,-29,533,-372,-71,2,212,-173,-68
Free Cash Flow,143,742,671,524,591,836,"1,040",581,"1,060","2,171","1,839","2,239"
CFO/OP,94%,104%,92%,91%,91%,106%,105%,76%,99%,124%,100%,105%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,44,48,50,56,54,54,66,53,47,49,50,55
Inventory Days,88,89,100,102,95,100,133,114,98,86,103,98
Days Payable,45,53,54,69,59,67,109,70,57,70,85,86
Cash Conversion Cycle,86,84,96,89,90,88,91,96,88,66,68,66
Working Capital Days,27,36,40,49,48,36,23,43,40,19,19,116
ROCE %,32%,45%,39%,36%,33%,33%,28%,25%,24%,30%,30%,31%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,69.91%,69.86%,69.84%,69.78%,69.75%,69.60%,69.59%,69.49%,69.35%,69.33%,69.32%,69.32%
FIIs +,11.34%,11.44%,11.49%,11.31%,11.59%,11.96%,11.79%,11.60%,12.13%,12.08%,12.01%,11.75%
DIIs +,7.92%,8.01%,8.32%,8.93%,8.97%,8.89%,9.15%,9.43%,9.15%,9.15%,9.21%,9.56%
Government +,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.04%,0.08%
Public +,10.82%,10.70%,10.36%,10.00%,9.71%,9.55%,9.46%,9.47%,9.36%,9.43%,9.40%,9.29%
No. of Shareholders,"5,97,029","6,00,117","5,77,382","5,41,114","5,23,292","5,08,966","5,08,918","5,17,618","5,02,257","5,17,120","5,21,850","5,20,440"

--- CAGR BOXES ---
Compounded Sales Growth
10 Years:,11%
5 Years:,15%
3 Years:,7%
TTM:,11%

Compounded Profit Growth
10 Years:,12%
5 Years:,17%
3 Years:,25%
TTM:,17%

Stock Price CAGR
10 Years:,16%
5 Years:,8%
3 Years:,6%
1 Year:,7%

Return on Equity
10 Years:,23%
5 Years:,22%
3 Years:,23%
Last Year:,24%

