--- ABOUT ---
"Incorporated in 1979, Sterling Tools Ltd manufactures Fasteners & MCUs [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
892,246,384,37.1

Book Value,Dividend Yield,ROCE,ROE
145,1.02,7.23,4.68

Face Value
2.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,211.67,220.60,210.17,231.95,269.25,281.68,283.98,260.88,199.76,192.08,207.91,205.85,221.97
Expenses +,189.26,195.16,184.90,205.92,238.39,249.66,251.76,234.06,181.22,170.05,184.30,183.30,214.01
Operating Profit,22.41,25.44,25.27,26.03,30.86,32.02,32.22,26.82,18.54,22.03,23.61,22.55,7.96
OPM %,10.59%,11.53%,12.02%,11.22%,11.46%,11.37%,11.35%,10.28%,9.28%,11.47%,11.36%,10.95%,3.59%
Other Income +,-2.29,2.02,1.96,2.02,0.94,1.98,1.92,1.81,5.93,2.88,12.49,-5.70,11.53
Interest,2.23,2.46,2.47,2.14,2.22,2.39,2.41,2.42,2.56,2.62,2.41,2.39,2.39
Depreciation,7.91,8.06,8.34,8.39,8.27,7.68,8.67,8.45,10.01,10.01,9.77,9.99,10.12
Profit before tax,9.98,16.94,16.42,17.52,21.31,23.93,23.06,17.76,11.90,12.28,23.92,4.47,6.98
Tax %,22.04%,22.90%,24.06%,22.49%,23.79%,23.07%,24.20%,23.42%,25.88%,26.71%,28.18%,64.88%,77.08%
Net Profit +,7.78,13.07,12.46,13.58,16.25,18.41,17.47,13.60,8.81,8.99,17.19,1.56,1.59
EPS in Rs,2.16,3.63,3.46,3.77,4.51,5.11,4.85,3.78,2.43,2.48,4.75,0.43,0.44
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Free Cash Flow,31,33,23,-52,7,-1,-26,30,73,50,5
CFO/OP,113%,103%,83%,76%,98%,39%,54%,81%,113%,131%,99%

--- RATIOS ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,36,34,37,29,28,43,45,38,35,23,44
Inventory Days,105,125,118,146,158,330,189,153,133,124,172
Days Payable,69,78,79,58,56,92,52,55,56,44,80
Cash Conversion Cycle,72,81,76,117,130,281,182,137,112,103,136
Working Capital Days,12,41,44,39,76,78,66,46,40,25,28
ROCE %,,31%,32%,22%,11%,9%,9%,13%,15%,14%,7%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,65.77%,65.77%,65.77%,65.77%,65.77%,65.77%,65.31%,65.02%,65.02%,65.02%,65.15%,64.86%
FIIs +,0.03%,0.01%,0.01%,0.01%,0.05%,0.12%,0.22%,0.51%,0.09%,0.19%,0.10%,0.24%
DIIs +,5.56%,5.71%,5.68%,5.49%,5.49%,4.74%,4.24%,2.85%,0.70%,0.00%,0.14%,0.34%
Public +,28.65%,28.52%,28.55%,28.74%,28.69%,29.38%,30.24%,31.61%,34.19%,34.79%,34.63%,34.56%
No. of Shareholders,"19,483","21,324","24,341","30,750","29,806","32,583","39,185","40,602","43,441","43,253","42,083","40,263"

--- CAGR BOXES ---




