Net Cash Flow,3,0,0,0,20,-19,10,7,-13,1,-1,4
Free Cash Flow,8,-11,-14,-116,-231,-206,49,54,-75,64,-36,-55
CFO/OP,32%,-62%,-23%,-724%,843%,"-4,288%","1,043%",146%,6%,103%,59%,46%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,137,175,126,199,195,658,342,225,211,162,140,156
Inventory Days,106,107,128,209,319,274,127,51,63,96,79,51
Days Payable,142,123,72,90,339,645,284,235,195,172,181,153
Cash Conversion Cycle,101,158,183,317,175,288,185,40,79,86,38,54
Working Capital Days,-9,79,-86,198,544,871,399,157,105,115,85,73
ROCE %,10%,11%,14%,9%,-1%,2%,2%,8%,13%,15%,21%,21%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,50.02%,50.02%,50.02%,50.02%,50.02%,50.02%,50.02%,50.02%,50.02%,50.02%,50.02%,50.02%
FIIs +,8.55%,8.01%,7.78%,8.58%,7.61%,5.64%,5.69%,5.38%,5.66%,7.04%,6.90%,7.11%
DIIs +,0.11%,0.14%,0.15%,0.18%,0.19%,0.28%,0.31%,0.45%,0.48%,0.69%,0.82%,0.68%
Public +,41.33%,41.84%,42.04%,41.24%,42.19%,44.08%,44.00%,44.16%,43.84%,42.25%,42.28%,42.20%
No. of Shareholders,"1,98,035","3,42,955","3,59,083","4,33,012","4,83,162","5,01,280","4,99,736","5,24,783","5,22,281","4,60,134","4,53,110","4,56,911"

--- CAGR BOXES ---
Compounded Sales Growth
10 Years:,38%
5 Years:,52%
3 Years:,28%
TTM:,28%

Compounded Profit Growth
10 Years:,40%
5 Years:,85%
3 Years:,39%
TTM:,27%

Stock Price CAGR
10 Years:,56%
5 Years:,51%
3 Years:,18%
1 Year:,33%

Return on Equity
10 Years:,8%
5 Years:,11%
3 Years:,13%
Last Year:,16%

